oa,english
"[u]m-ma kà-ru-um Kà-ni-iš-ma a-na ša-qí-il5 da-tim ší-ip-ri-ni kà-ar kà-ar-ma ú wa-bar-ra-tim qí-bi4-ma","Thus kārum Kanesh, say to the dātu-payers, our messenger, every single colony, and the trading stations:"
"tup-pu-um ša a-lim i-li-kam i-na tup-pi-im ša a-lim iš-tù u4-mì-im a-nim: ma-ma-an KÙ.AN i-ša-ú-mu-ni i-na né-mì-lim A-šur ú-lá e-WA: iš-ra-tí-šu kà-ru-um Kà-ni-iš i-lá-qé","A letter of the City has arrived. In the letter of the City (it is written): 'From this day on, whoever buys meteoric iron, (the City of) Assur is not entitled to part of the profit made, the tithe on it kārum Kanesh will collect'."
"ki-ma tup-pì-ni ta-áš-me-a-ni: a-ma-kam lu a-na ší-mi-im a-na É.GAL-lim i-dí-in lu té-ra-at É.GAL-lim ú-kà-lim lu na-ší-ma a-dí-ni lá i-dí-in ma-lá KÙ.AN na-áš-ú ni-bi4-it","As soon as you have heard our letter, who(ever) over there has either sold it to a palace, or has offered it to palace officials, or still carries it with him without having yet sold it - all meteoric iron he carries,"
"a-ší-im šu-um-šu ú šu-mì a-bi4-šu i-na tup-pí-im lu-up-ta-nim-ma iš-tí ší-ip-ri-ni šé-bi4-lá-nim","write the exact amount of every (piece of) meteoric iron, his name and the name of his father in a tablet and send it here with our messenger."
"me-he-er tup-pi-ni a-na kà-ar kà-ar-ma ú wa-bar-ra-tim","Send a copy of (this) letter of ours to every single colony and to all the trading stations."
"šé-bi4-lá KÙ.AN lu a-na DAM.GAR-ru-tim i-dí-in šu-mì a-wi-lim lu-up-ta-nim","Even when somebody has sold meteoric iron via a trading agent, register the name of that man""."
"um-ma kà-ru-um Kà-ni-iš-ma a-na ša-qí-il5 da-tim Ku-li-a ší-ip-ri-ni kà-ri-im Dur4-hu-mi-it Ha-tù-uš Ta-am-ni-a Tù-úh-pí-a a-dí Ni-na-ša-a qí-bi4-ma","Thus kārum Kaniš, say to the dātu-payers, our messenger Kuliya, kārum(s) Durhumit, Hattuš, Tamnia (and) Tuhpiya, (all the way) until Nenaša:"
"i-UTU-ší ṭup-pi-ni ta-ša-me-a-ni GÍR ša A-šur šé-ṣí-a-ma ik-ri-ba-am šu-uk-na-ma ma-ma-an KÙ.AN a-na ší-mi-im a-na É.GAL-lim i-dí-nu lu a-dí-ni","""As soon as you hear our letter produce the dagger of Aššur and impose an oath and whoever has sold meteoric iron to a palace or, having not yet sold it,"
"lá i-dí-in-ma na-ší 10-tim ša KÙ.AN ú 1 ma-na-um 3 GÍN KÙ.B. ša-du-a-sú ṣa-áb-ta-ma Ku-li-a: i-pá-ni-šu li-ni-iš-a-am","still carries it with him, seize (from him) the tithe on the meteoric iron and his/its šaddu2utu-tax of 3 shekels silver per mina and let Kuliya personally take it along."
"šu-ma i-qá-bi4 um-ma šu-ut-ma KÙ.AN ša a-wi-lim ša *NÌ.KA-sí*","If the person in question protests and declares: 'The meteoric iron belongs to ""a man with an account""',"
"10-tim ú ša-du-a-tám li-[qé]-a-ma ša ba-ri-ni li-li-kam-ma GÍR ša A-šur li-it-ma-ma ša-du-a-tám nu-ta-ar-šu-um","still take the tithe and the šaddu2utu-tax and let one who is one of us come here to swear an oath by Aššur's dagger then we will give him back the šaddu2utu-tax."
"i2-da-ma [IGI Ku]-li-a ší-ip-ri-ni GÍR ša A-šur šé-ṣí-a-ma a-hu-um pá-ni a-[hi]-im ú-lá","Do not fail to produce Aššur's dagger in the presence of Kuliya and people shall not spare each other!"
"ú-ba-al: ma-ma-an ha-ra-an sú-ki-nim e-ma-re sé-er-dam ú-šé-r[i-ba]-ni-ma a-ma-kam uš-té-bu-lu-ni lu wa-ší-ib kà-ri-im","Whoever has brought in loaded donkeys via the sukinnu-road in order to do business over there, even when he is a resident of a kārum,"
"1 [ma]-na-um 3 GÍN KÙ.B. ša-[áš-q]í-lá-šu-ma Ku-li-a i-pá-ni-šu li-ni-iš-a-am","make him pay 3 shekels of silver per mina and let Kuliya personally bring it here."
"šu-ma i-qá-be um-ma šu-ut-ma a-lá-ak-ma i-kà-ri-im Kà-ni-iš a-za-ku KÙ.B. ša-áš-qí-lá-šu-ma war-kà-tám li-li-kam-ma iš-tí-ni li-iz-ku a-ni-ša-<am> lá i-na-pu-ša-am a-na-kam KÙ.B. li-iš-qú-ul","If he protests, saying: 'I will go to clear myself in kārum Kanesh', still make him pay the silver and let him come here afterwards in order to clear accounts with us. He shall not make trouble against (us) here, he must pay the silver (t)here!"""
"um-ma kà-ru-um Kà-ni-iš-ma a-na ša-qí-il5 da-tim Ku-li-a ší-ip-ri-ni wa-bar-tim ša Ku-bur-na-at Ha-na-ak-na-ak ú Ti-iš-mur-na","Thus kārum Kaniš, say to the dātu-payers, our messenger Kuliya, the plenary wabartums of Kuburnat Hanaknak and Tišmurna:"
