oa,english
"tup-pu-šu-nu sà-ru-ú a-lá-an","their tablets are invalid."
"1/3 ma-na 6 GÍN KÙ.B. ša tup-pá-am ša A-mur-A-šur [ú-ka-a]-lu","Apart from 26 shekels of silver, for which he has a tablet of Amur-Aššur"
"3 ma-na 5 GÍN AN.NA a-na kà-ši-im áš-qú-[ul]","3 minas and 5 shekels of tin I paid to the 'official'."
"1½ mana 5 GÍN AN.NA a-na ší-ip-ri-kà a-n[a] Kà-ni-iš","1 mina 35 shekels of tin for your messenger (sent to) to Kanesh."
"1 ma-na a-na ší-ip-ri-kà","1 mina for your messenger."
"1 1/6 SILA3 Ì.GIŠ re-eš15-tám ù sà-he-er-tám i-na Né-eh-ri-a áš-qú-ul","1 1/6 quart of prime oil and sundries I used in Nehriya."
"½ ma-na AN.NA a-na Šu-A-šùr na-ki-ri-ni","Half a mina of tin for Šū-Aššur, our nākirum."
"5/6 ma-na AN.NA lu-bu-ša-am i-na Ha-qá-a e-mu-ru-nim","50 shekels of tin for a garment they selected in Haqa."
"4 ma-na 10 GÍN AN.NA ša Puzur4-SA.TU","4 minas 10 shekels of tin belonging to Puzur-šadu'e"
"Di-ik-šar ú A-ta-ah-šu Pé-ru-wa ú Šé-zu-ur i-zu-zu-ma A-ta-[ah-š]u zi-tù-šu ú zi-tá[m š]a Pé-[r]u-wa ú Šé-zu-ur tù-z[i-nam] ša GAL si-mi-il5-tí-im il5-qé","Dikšar and Atahšu, Peruwa and Šezur divided and Atahšu took his own share and the share of Peruwa and Šezur, the tuzinnum of the rabi simmiltim."
"ù Di-ik-šar zi-tù-šu ú tù-zi-nam ša GAL sí-mi-il5-ti il5-qé:","And Dikšar took his share and the tuzinnum of the rabi simmiltim."
"šu-ma A-ta-ah-šu Pé-ru-wa ù Šé-zu-ur a-na Di-ik-šar i-[t]ù-ru: 5 ma-na a-na Di-ik-šar i-ša-qú-lu","If Atahšu, Peruwa and Šezur raise claims against Dikšar they will pay five minas of silver to Dikšar."
"ú šu-ma Di-ik-šar a-na A-ta-ah-šu Pé-ru-wa ú Šé-zu-ur i-tù-ar-šu-nu-tí 5 ma-na KÙ.B. i-ša-qal-šu-nu-tí","And if Dikšar raises a claim against them, against Atahšu, Peruwa, and Šezur, he shall pay them 5 minas of silver."
"ni-iš A-na ru-ba-im ù ru-ba-tim it-mu-ú","They have sworn the oath by Anna, the king and the queen."
"IGI Ba-ri-ti-a GAL a-wi-le IGI Ša-ma-li-a IGI Ha-ti-li IGI Ha-ar-la GAL ša-qi-a-tim IGI Na-ki-le-ed","In the presence of Baritia, the chief of the men, of Šamaliya, of Hattili, of Harla, the chief of the female cupbearers, of Nakile'ed."
"iš-tù hu-bu-lá-am É x ší x x (x) ú ta-ak-ší-it i-dí-šu: x 10 GUD-im 9 ANŠE 1 IR1 1 GEMÉ ša ra-mi-ni a-na Di-ik-ša-ar e-zi-<ib>","after the debt of <gap> and the profit of his arm <gap> 10 oxen, 9 donkeys, one slave, 1 slave-girl, which I myself left? to Dikšar."
"ú kà-sá-a[m] ša IŠKUR: iš-tí-tí: mi-ma a-na ra-mi-ni-šu lá il5-qé-ú","And he drank the cup of the Weather god (swearing) that he did not take anything for himself."
"lu É lu KÙ.[B.] lu GEMÉ lu IR1 lu a-lá-ni lu GUD lu ANŠE eq-lá-tim ša a-bi4 2 ŠU-an Di-ik-šar il5-qé:","(Of) the house the silver, slave-girls, the slaves, the manors, the oxen, the donkeys, and the fields of the father – Dikšar took two shares."
"šu-ma tù-si-nam Di-ik-šar il5-qé a-na lá-ba-ra-áš-lim ú h[u-......] Di-ik-šar lá i-t[á-hi ........]","If Dikšar has received the tusinnum, Dikšar shall not approach? the <gap> and the <gap>."
"šu-ma ma-ma-[an.......] [...... m]a-na K[Ù.B] i-ša-qal ú i-na i-dí-nim i-[du-ku-šu] x x x x x x -um","If anybody he will pay <gap> minas of silver and they will kill him in the <gap> <gap>"
"ú A-ha-a-tum a-š[a-t]ám i-ṣé-er Ba-ba-lá GEMÉ-tí-šu ú-lá i-l[á-qé]","And Ahayatum shall not take a wife in addition to his maid Babala."
"šu-ma i-l[á-qé] 2 ma-n[a KÙ.B.] A-ha-a-tum a-na [Ba-ba-lá] i-ša-qal","If he does Ahayatum will pay 2 minas of silver to Babala."
"ZU-i-ta","Zu'ita."
"4 ma-na 10 GÍN KÙ.B. ṣa-ru-pá-am iš-tù ha-mu-uš-tim ša I-dí-A-šùr DUMU Ku-bi-dí a-na 10 ITU.KAM E-num-Ištar [ti-šu i/a]-na","4 minas 10 shekels of refined silver from the week eponymy of Iddin-Aššur, son of Kubu-idi, within 10 months owe to Ennam-Ištar."
"ad-ri-im [.........] ŠE-am ú GIG ú-[bu-lu]","At the time of the threshing they will deliver the barley and wheat."
"šu-ma: lá úb-l[u-nim] 10 na-ru-uq Š[E ù GIG]","If they have not delivered it they will give 10 sacks of barley and wheat."
"[i]-ṣé-[er] [P]uzur4-Sá-ga-[a]r Lu-lu-šu:","is owed by Puzur-sagar to Lulušu."
"i-šu iš-t[ù] ha-mu-uš-tim ša Puzur4-A-šùr a-na ITU.1.KAM i-ša-qal","(Reckoned) from the week of Puzur-Aššur he will pay in one month."
"[šu]-ma lá iš-qú-ul 15 GÍN.TA i-na ITU.KAM u-ṣa-áb ITU.KAM","If he has not paid he will add as interest 15 shekels per month."
