id,akkadian,english,source_ref,letter_num,genre
861e5a50-3f55-4824-b2c9-9e6d148b197e,um-ma wa-ak-lúm-ma a-na kà-ar a-na kà-rim kà-ni-iš qí-bi-ma a-wi-lu-um ša a-wa-tám la-mu-tám <big_gap> a <gap> GÍN <gap> ma <gap> za az ki <big_gap> <gap> ší-bi <big_gap> ú-šé-lu <big_gap> KI ší-bu-tim <big_gap> i-<gap> <big_gap> <gap> ša <big_gap> ša a-na a-wa-tim a-ni-a-tim a-na a-lim{ki} i-la-kà-ni ú-la i-ba-lu-uṭ DUB-pu-um a-ni-um a-na <gap>-<gap> <gap>-a-im i-ba-al-ki-it a-wa-at DUB-pí-im a-nim <gap> uṣ-ra-ma i-na kà-ar me-eḫ-ra-at DUB-pí-im ša-áš-me-a <big_gap> a-na kà-ri-im kà-ni-iš li-ik-šu-da-ma li-iš-pu-ra-am,"\n[Thus] I (speak) the wa[klum]: say[s] to all [the] kdrum, in particular to the kdrum of Kan[iš].\n4—""A man who would pronounce bad [p]aro-\nles [... ], 1 century [... ]94 They produced witnesses [... ]\nWith the testimonies [...] who comes to the City for these words, must not remain alive95\nThis tablet[e] was sent for [...] Keep the original of this tablet96 [and make heard]re97 in\ntall the copies of this tablet [...]","TC 1, 142",1,administrative regulation
93040b8b-6de2-48b9-8ad8-5587252fabfc,um-ma wa-ak-lúm-ma a-na kà-ri-im kà-ni-iš{ki} qí-bi-ma a-lu-um dì-nam i-na ḫa-am-ri-im i-dí-in-ma im-dí-DINGIR DUMU šu-la-ba-an <big_gap> PA.DU-am e-ḫa-az-ma a-na kà-ri-im kà-ni-ìš{ki} i-ša-pár-ma lu i-na lu-qú-tim lu i-na ba-áb-tim lu KÙ.BABBAR <big_gap> <gap>-<big_gap> ša kur-ub-<big_gap> ma-<big_gap> a-mur-<gap>-<big_gap>-im <big_gap>-<gap> <big_gap> im-dí-DINGIR <big_gap>-na <big_gap> ú-<big_gap> a-<big_gap> ša-<big_gap> ba-<gap>-<big_gap> iš-<big_gap>-<gap> <big_gap>-šu <big_gap>-<gap>-ma <big_gap>-ša-qal <big_gap>-im <big_gap> <gap>-<big_gap> li-mu-um šu-{d}EN.ZU DUMU pá-pí-li-im kà-ru-um e-mu-uq PA.DU-ṣi-im bu-ṣí-a DUMU id-na-a,"\nThus (speaks) the waklum: say to the kdrum of Kanis.\n3-5The City has rendered judgment in the sacred enclosure.\n5-1Ilcodilum, son of Sa-Laban, will take a lawyer, and he\nwill send him to the kdrum of Kanis, and either on the merchandise, or\non the goods sold on credit, or the money (... lacuna)I°2\nI"" —8"" Month : [... ], eponym of Sa-Sin, son of Pappilum\n(n°103), the kdrum (will be) the executive power of the attorney, that is to say of the attorney Busiya, son of Idnâya.\n","ICK 1, 182",6,unknown
183787c7-630e-7e21-0081-721f16dfbecb,um-ma wa-ak-lúm-ma a-na en-na-sú-en₆ ú-ṣú-ur-ša-IŠTAR ù a-du-da qí-bi₄-ma 6 GÚ ù it-ra-sú AN.NA 12 TÚG ša li-wi-tim 3 ANŠE ṣa-lá-me en-um-a-šur i-ra-de₈-a-ku-nu-tí me-er-ú-i-a a-tù-nu a-ma-kam ki-ma a ra-ma-na-tí-ku-nu tù-u-ta-ma-ra-ṣa-ni AN.NA-ki dí-na a-du-da lá tù-qá-a-a AN.NA 0.5 GÍN zi-tí-šu ki-ma i-za-zu et-qá-ma dí-na KÙ.BABBAR a-du-da li-ik-šu-da-am IGI a-šur ú i-li-a a-kà-ra-ba-ku-nu-tí 1 me-at 50 {TÚG}ku-ta-ni a-na kà-ri-im tù-ur-ḫu-mì-it en-um-a-šur na-ší a-ma-kam la i-sá-ḫu-ur ṭù-ur-da-šu,"\nThus (speaks) the waklum: tell Enna-Sîna, Usur-sa-Istar\net Adudab.\n5-8Ennum-Aššur leads you 3 black donkeys (laden\nd) 6 talents of tin and its surplus, as well as 12 cloths\nwrapping.\n9-18You (are) my sons. There you must go to as much trouble to sell my tin as if (it were) for your own (goods). Don't wait for Aduda.\nSell the tin up to 2 shekelI03 above the\nlist price. As soon as it becomes available, go out and sell it. Let Aduda get the money.\n19-26 I\nASSur is carrying 150 kut[an]umc cloths for the kdrum\ndof Durhumit. He must not linger there, send him back!\n","AKT 2, 22",8,letter
145a1249-297d-6e2a-f427-364668b3a730,um-ma wa-ak-lúm-ma a-na ás-qú-dim DUMU a-bu-ša-lim qí-bí-ma uš-tù ma-lá-šu u₄-me tù-ṣí-ma té-er-ta-kà-ma lá i-li-kam me-ra-kà i-li-kam-ma KÙ.BABBAR 40 ma-na ub-lá-ma ú-lá iq-bi-a-am i ki-dim ší-a-ma-tim AN.NA iš-a-ma ú-šé-ṣí-a-ku-um <big_gap> <gap>-me <big_gap> <gap>-tí-šu KÙ.BABBAR mì-šu lá tù-šé-ba-lam i-ḫi-id-ma KÙ.BABBAR šé-bi₄-lam lá a-ša-pá-ra-ma i kà-ri-im lá ú-qá-lu-lu-kà a-dí ma-lá ú 2-šé-ni-šu qá-at-kà dí-ni ṭup-pá-am-ma pá-na-kam lá tù-šé-bi₄-lam i-ḫi-id šé-bi₄-lam,"\nThus (speaks) the waklum: tell Asqudum, son of Abu-\nsalima.\n3-12In all the time that you have been gone, no message from you has reached me. Your son came and brought money amounting to 40 mins, but he didn't tell me anything! He made purchases of [tin] outside\n(the City) and [shipped] it to you [...] (gap)\n15-19Why don't you send me money? Make sure you\nsend me money, otherwise I will write and they will discreet you in the kârumb!\n20-24You have changed your attitude several times. You didn't even send me a one-inch tabletcloa Make sure to send me some.\n","CCT 4, 32a",9,letter
10d903fd-fdd5-38ce-a725-07cf230355d6,um-ma wa-ak-lúm-ma a-na pu-šu-ke-en₆ qí-bi-ma ta-áš-pu-ra-am um-ma a-ta-ma 5 ma-na KÙ.BABBAR ša ás-qú-dim a-na-kam aṣ-ba-at ù 10 ma-na a-na ṣí-ib-tim al-qé-ma KÙ.BABBAR ú-šé-bi₄-lá-ku-um lu-qú-tám ša ás-qú-dim ša ú-ṣa-bi-tù a-na KÙ.BABBAR ú-ta-ar-ma KÙ.BABBAR ša ṣí-ib-tim ú-ta-ar-ma ší-tí KÙ.BABBAR-pì-kà ú-šé-ba-lá-ku-um 2 GÚ 5 ma-na AN.NA 30 ku-ta-ni 2 ANŠE ṣa-lá-me 5 ma-na 5 GÍN ḫu-sà-ra-am SIG₅ wa-at-ra-am 11 GÍN a-mu-tum ki-iṣ-ru-um mì-ma a-ni-im a-na ás-qú-dim a-bi-i i-dí-in IGI a-šùr ù i-li-a a-kà-ra-ba-kum me-er-i a-ta ki-ma a-na KÙ.BABBAR-pì-kà 1 GÍN tù-uš-ta-ma-ru-ṣú i-ḫi-id-ma a-dí 1 GÚ KÙ.BABBAR ù e-li-iš a-lik-ma KÙ.BABBAR-áp a-wi-lim ṣa-bi-it ṭup-pì tù-kà-al ša a-na e-ta-lu-tí-kà a-na-ku-ma ṭup-pì-a ta-ṣa-bu-tù a-wi-lúm šé-ṭù-ti a-bi₄-a ù šé-ṭù-tí il₅-té-qé šu-ta-am-ri-iṣ-ma ma-la ta-ga-mì-li-ni e-pu-uš 2 ṣú-ḫa-ri-a uš-tí-mì-it ù KÙ.BABBAR ap-ku-nu i-ta-ba-al a-na tí-mì-il₅-ki-a tí-i-ir-tí i-ta-lá-ak ù a-ta a-ma-nu-um šu-pu-ur-šu-nu-tí-ma KÙ.BABBAR-pí a-na ṣé-ri-kà lu-šé-bi₄-lu-nim KÙ.BABBAR 1 GÍN lá i-be-e-lu-nim i-šar-be-lí ṣú-ḫa-ri iš-tí ás-qú-dim wa-ša-áb i-ḫi-id-ma i pá-ni-im-ma šé-ri-a-šu,"\nThus (speaks) the waklum: tell Piu-kén.\n3-11111 wrote to me thus: “Here I seized 5 silver mines\nbelonging to Asqudum and I also took 10 mines against\ninterest and I sent you the money. (As for) the merchandise\nd""Asqudum that I have seized, I will sell it for money\nain order to return the money (which I borrowed) against interest,\nand I will send you the rest of your money!""\n12-17/There were) 2 talents 5 mines of tin, 30 (clothes)-\nkutânnm,\nl\n2 black donkeys, 5 mines 5 shekels of lapis lazulia of excellent quality, 11 shekels of iron-amütumb (in one) block, all this (which) my father had given to Asqudum.\n17-23You (are) my son for whom I pray to Aššur and my god Then seize the money of the man (Asqudum), going after each shekel, in. giving you as much trouble as you do for a talent of your money.\n24-30You hold my tablet so that you can seize (the money) with determination according to (the terms) of my\ntablets. The man treated my father and myself with contempt. Take pains and act to be of service to me.\n31-38He caused the death of my two servants. took away their money. A message from me has already left for Timilkiya, and you also write to them from there so that they\nsend my money to you. They must not have a single shekel of silver!\n39-42Išar-béli, my servant, stay with Asqu-\ndum.","KTS 1, 30",11,letter
059c1bf5-6bfc-c127-ec72-04e5dc6a94b7,um-ma wa-ak-lúm-ma a-na šu-a-nim DUMU en-na-sú-en₆ qí-bi-ma 5 ma-na AN.NA a-na ta-ad-mì-iq-tim ṣí-lu-lu DUMU ú-ku <big_gap> ù a-mur-{d}UTU DUMU e-nu-a-<gap> <big_gap> na-áš-ú-ni-kum IGI a-šùr ú i-li-a a-kà-ra-ba-kum mu-<gap> <big_gap> li-bi lá tù-lá-ma-an,"\nThus (speaks) the waklum: say to Sü-Anum, son of Enna-\nSin. 3-7Silülu, son of Uku, and Amur-Samas, son of Ennua, bring 5 tin mines [in] loan-tadmigtuma.\na-11 I pray for you A[ssu]r and my god[u], accept it and do not disappoint me!","KTS 1, 31a",13,letter
d56de33e-8e2f-8839-cea8-ee0a0eec07e2,um-ma ší-ip-ru-ú ša a-lim{ki} ù kà-ru-um kà-ni-iš-ki-ma a-na kà-ar kà-ar-ma qí-bi-ma a-šur-GAL ù i-ku-pí-a ší-ip-ru-ú-ni a-na ta-ḫi-tim ta-ap-ru-<gap> 2 mu-kà-ri-be-en₆ dí-na <gap> tí kà-ru-um a-na kà-ri-im li-ip-qí-sú-nu,"\n[Thus (speak) the messengers [of the City and the [kd]rum\nde Kaniš: [said [to] all the kdrum.\n6-15[A]sšur-rabi and Ikuppiya, our messengers, [were] sent [to] (give) instructions. Give[the]their\ntwo escorts. May (each) kdrum help them join the (next)\nkdrum!\n","BIN 6, 120",16,administrative regulation
410a05f7-fb4d-c341-9a90-c7ea492b6891,<big_gap> a-šur-SIPA DUMU sà-ba-sí-a li-pá-a ù kur-ub-IŠTAR DUG-a-šur DUMU PUZUR₄.IŠTAR ú-bi-il₅ lu-qú-tám a-šur-SIPA-ma il₅-qé-ší ù té-er-tù-šu ki-ma lu-qú-tám il₅-qé-ú i-li-kam 23 TÚG šu-ru-tum <gap> {TÚG}ku-ta-nu 1 TÚG kà-ab-tum <gap> GÚ 10 ma-na AN.NA ku-nu-ku-a <gap> ma-na AN.NA qá-tim 2 ANŠE ṣa-lá-ma-an pí-lá-aḫ-a-šur DUMU ib-ni-é-a ir-de₈-a-ku-nu-tí <gap> GÚ 10 ma-na AN.NA ku-nu-ku-a <gap> TÚG šu-ru-tum ša li-wi-tim <gap> ma-na AN.NA qá-tim <big_gap>,"\nAi[nsi (speak) the ka]rum of Kani: tell all the kdrum,\nwhere you can reach Ikuppaša.\n5-14Buzâzu and Aššur-matappil presented us with the following request: “We want to bring back here our brother, Ikuppaša. We take responsibility for returning it (this way). »\n15-19Ašgur-tâb and Adad-ellat (are) our messengers;\nbe their executive power.\n","BIN 6, 8",18,letter
219e5ddd-fe57-4388-89fc-80b7f3e24524,a-mur-{d}UTU a-ḫu-ú a-gu₅-za a-šùr-GAL DUMU a-gu₅-za šu-IŠTAR a-šùr-DU₁₀ me-er-ú a-gu₅-za ù a-ḫa-sú-nu gu₅-ba-áb-tum ni-iš a-lim{ki} it-mu-ú a-na bé-tí-im ša kà-ni-iš ša a-šùr-GAL wa-áš-bu ù ší-ma-at a-bi-šu-nu ù a-na mì-ma šu-um-šu a-mur-{d}UTU a-na a-šùr-GAL ù a-ḫi-šu me-er-e a-gu₅-za ú-lá i-tù-ar ù me-er-ú a-gu₅-za a-na a-mur-{d}UTU ù me-er-e-šu a-na mì-ma šu-um-šu ú-lá i-tù-ru qá-qú-ru ša ṭé-ḫi-i É i-dí-a-šùr DUMU ku-bi₄-dí a-na ba-ri-šu-nu i-za-zu IGI ku-ku-wa IGI il₅-ba-ni IGI a-šùr-lá-ma-sí,"\nThus (speaks) the kdrum of Kaniš: say to the kdrum of\nBurušhattum, (the assembly of) small and great.\n4-9Here, the representatives of Kurub-Ištar anointed us with the following request: “He gave [NP] a large amount [of money] (which was) in the house of]\nKurub-Ištar »[... ] (gap)\nI'-6'Over there [... ] Salim-ahum has a[debt to me].\nMoney, in the amount of 3' of mine [...] over here,\nfor [...] the money to arrive so that he deposits it here.\n7'-13'Over there, let it be Salim-ahum's wife or the son of Salim-ahum [who took] his money, he must return it. If he doesn't return it, [register]write a tablet about him and deliver it here [by first]\n(mail).\n",KTK 1,25,agreement (contract)
6a78f93f-5c99-537a-ad37-790fd8553d23,um-ma kà-ru-um kà-ni-iš-KI-ma a-na kà-ri-im tur₄-ḫu-mì-it qí-bi-ma a-na-kam {d}en-LÍL-ba-ni DUMU a-šur-ma-lik im-ḫu-ur-ni-a-tí-ma um-ma šu-ut-ma na-áb-sú-en₆ ú-ša-sá-ḫa-am a-na ša-sú-ḫi-šu ma-ṣa-ku a-šur-e-nam ší-pár-ni a-ma-kam na-áb-sú-en₆ li-sú-ḫa-am kà-ru-um lu e-mu-uq ší-ip-ri-ni,"\n[Thus (speaks)] the kdrum [of Kan]iš: say to the kdrum of\n[Durh]umit.\n5-I0[I]here, [En]lil-bani, [son of A]ššur-malik, [we] have [presented] the following request114: “I [want to transfer\nhere] Nab-SIn. I take responsibility for his transfer. »\n11-17Aššur-ennam (is) our messenger. There, let him carry out the transfer of Nab-SIn. Let the kdrum be the executive power of our messenger.\n","TC 1, 35",26,administrative regulation
