word,translation
abnu,stone
abnum,"stone, rock, (semi)precious stone"
abnum (NA4),"stone, rock"
abrātum,"populace, humanity"
abrum,"pile of brushwood, bonfire"
abrum II,wing
abšaḫurum,fish (kind of)
abšānum,"yoke, harness"
"abšānum, abšennum","yoke, harness, rope"
abūbāniš,like a flood
abūbu,flood
abūbum,"flood, deluge"
abullu,gate (of city or large building)
abullum,gate
abulmaḫḫum,main gate
Abum,MN
abum (//a-a),father
abum (//ad-da),father
abum (//bil),father
abum (//pap),father
abunnatum,"umbilical cord, navel"
aburriš,in a green pasture
aburrum,"rear, field; water-meadow, pasture"
aburû,heavens
Adab (UD.NUNki),GN
Adad,DN
Adad (//dIŠKUR),DN
Adad (dIŠKUR),DN
Adad-nērārī,RN
Adad-šumu-iddina,RN
Adad-šumu-uṣur,RN
adānu,"fixed date, time limit"
adānum,"fixed date, time limit"
"adānum, ḫadānum","fixed date, time limit"
Adapa,PN
adapum,"hymn, kind of (Sum.)"
adāru (v.),"to be afraid of, fear"
adārum (v.),"to be afraid (of), fear, mourn"
adārum I (v.),"G to be dark, gloomy; D to darken, look gloomy"
adārum II (v.),"G to be afraid, fear, be worried, disturbed; Š to cause annoyance, frighten; Št to become frightened, worried"
addum,"storm, thunderstorm"
Adgigi,name of a lyre or harp
adi,"until, as far as"
adīlum,part of a ceremonial garment
adīni,"hitherto, till now"
adirtu I,gloominess
ādirum,full of awe
adû,now
âdum (v.),to take notice of
agāgum (v.),to be(come) furious
agālum I,donkey
Agamtanu,GN
agāmum (v.),to be furious
agana,"well now, come on!"
agannu,"bowl, cauldron"
agannû,these
agappum,"wing, eye-lid"
agargarûm,fish spawn
aggiš,furiously
aggum,furious
āgilu,towman
agrum,"hireling, hired man"
agubbûm,holy water vessel
"agubbûm, egubbûm",holy water vessel
agûm,"tiara, crown, ornament"
agûm I,"tiara, crown"
agûm I (//aga),"tiara, crown"
agûm I (//men),"tiara, crown"
agûm II,"wave, flood"
agûm II (//a-gi6-a),"wave, flood"
Agur (Engur),GN
agurrum,"baked brick, slab"
Agušaya,"DN, name of Ištar"
aḫam aḫam,one-by-one
aḫāmiš,"each other, one another"
aḫāru (v.),"to be behind, (D) hold back, delay, stay behind"
aḫārum (v.),"to be behind, (D) hold back, delay, stay behind"
aḫāt abim,"sister of the father, aunt"
aḫātu,sister
aḫātum,sister
aḫāzu (v.),"to take, seize, grasp, marry, (D) mount, plate, inlay"
aḫāzum (v.),"to take, marry, learn, (Š) instruct, incite"
Aḫḫēa,PN
aḫḫūtum,brotherhood
aḫītum,side
Aḫlamītum,DN
aḫrâtaš,for ever after
"aḫrâtaš, aḫriātiš",for ever after
aḫrītiš,in future
"aḫrītu, aḫrâtu",later time
aḫu,"arm, side"
aḫulap,(it is) enough!
aḫullâ,on the other bank
aḫum,brother
aḫûm,"outside(r), strange"
aḫum I,brother
aḫum II,"arm, side; bank (of river)"
aḫum II (//zag-še),"arm, side"
aḫum rabûm,high priest
aḫunê,"separately, individually"
aḫurrûm,person of low rank
ai,not
"ai, â, ê",alas!
"ai, ê","alas, oh"
"ai, ē, â",not
ak(a)lum (//ninda),"bread, loaf, food"
ak(a)lum (NINDA),"bread, loaf, food"
akalu,"bread, food"
akālu (v.),to eat
akalum,bread
akālum (v.),to eat
"akalum, aklum","bread, loaf, food"
akanna,"so, thus"
akāšum (v.),"to walk, go, (D) drive away, expel"
akī,"as, like, in accordance with"
"akī, akkī",as
ākil karṣim,slanderer
ākilu,"that eats, eater"
ākilum,"that eats, eater"
akītu,"a cultic festival, a temple for the festival's celebration"
akītum,a cultic festival
Akkade,GN
Akkadûm,GN
akkāʾi,how
akkīma (ana kīma),as
akkū (an(a) kûm),instead of
akkullu,"hatchet, pick(axe), adze"
akkullum,"hatchet, pickaxe"
aklum,"eaten, consumed"
akûm,cripple
akûm I,"weak, powerless, humble"
Akuṣītum,DN
Akusummītum,DN
alā'um (v.),to lick
alaktum,"way, course"
alāku (v.),to go
alākum (v.),to go
alākum (v.) (//du),"G to go, walk; Gt go off, away; Gtn wander, go repeatedly, roam about, walk"
alākum (v.) (//gen),"G to go, walk; Gt go off, away; Gtn wander, go repeatedly, roam about, walk"
alākum (v.) (DU),"G to go, walk; Gt go off, away; Gtn wander, go repeatedly, roam about, walk; Š caus. of G"
alaltī'um,kind of snake
alālum (v.),"to hang up, suspend"
alālum (v.) II,"G to hang up, suspend; N to be hung up; Ntn"
alālum (v.) III,"Gt to shout ""alāla"", brag, boast"
alālum I,"song, work song"
Alamuš,DN
ālānûm,exile (work)
alāpum (v.),"to make immovable, paralyze (part of the body)"
Alašium,GN
algarum,"musical instrument, drum"
ali,where?
aliānum,tree (kind of oak?)
ālidum (fem. ālittum),parent; a woman giving birth
ālik urḫim,"traveller, wayfarer"
Aliksandar,RN
āliku,"going, goer"
ālikum,"going, goer"
alīlum,powerful
alku,"course of canal, region along the bank"
alla,"beyond, apart from"
allallum,bird (kind of)
allānum,oak
Allatum,DN
allu,"hoe, pickaxe"
alluḫappum,hunting net
"alluḫarum, annuḫrum (IM.SAḪAR.BABBAR.KUR.RA)","mineral, kind of"
allum (//giš.al),"hoe, pickaxe"
alluttum,"crab, constellation Cancer"
almattum,widow
almattum (NU.MU.SU),widow
alpu,"bull, ox"
alpum,bull
alpum (//gu4),"bull, ox"
alpum (GU4),"bull, ox"
ālu,"village, town, city"
alûm,a kind of drum
ālum,"village, town, city"
ālum (//ri),"village, town, city"
ālum (//ú-ru),"villiage, town, city"
ālum (//uru),"village, town, city"
ālum (URU.KI),"village, town, city"
Ama-Mullili,PN
amandēnum,scythe
Amar-Enlilla,PN
Amar-Gin,PN
amāru (v.),to see
amarum,pile of bricks
amārum (v.),to see
amerakūtum,wailing song
Amīl-Marduk,RN
"āmirum, āmerum, āwirum","that sees, reads"
Ammanānu,GN
ammartum,overseer
ammatum,"forearm, cubit"
ammatum I,"forearm, cubit"
ammatum I (//á-kùš),"forearm, cubit"
ammatum II,"strong, stable (syn. of ""earth"")"
Ammī-Ṣadūqa,RN
Ammīditāna,RN
ammīni,why
ammīnim,why
Ammiṣaduqa,RN
ammum,people
amrum,"seen, chosen, versed"
amšālim,yesterday
"amtu, andu","maid, female slave"
amtum,"maid, female slave"
amtum (//gi4-in),"maid, female slave"
amtum (GÉME),"maid, female slave, maidservant, slave girl"
amum,raft
amurdinnu,bramble
"amurdinnum, murdinnum",bramble?
Amurrum,GN
Amurrum (dMAR.TU),DN
"amursānu, amuršānu",wild pigeon
amursānum,wild pigeon
ana,"to, for"
ana dānika,"for your sake, please"
ana I,"to, for"
ana II,I
ana mīnim (cf. mīnûm),why
anāḫu (v.),to perform an inḫu song
anāḫum (v.),"to be(come) tired, make an effort, strive"
anāku,I
anantum,"battle, strife"
andurārum,freedom
anḫullûm,(a plant)
anḫum,tired
"anīnu, anīni",we
anna,"yes, certainly"
annaku,"tin, lead"
"annanna, f. annannītum","so-and-so, such-and-such"
"annikīam, annekīam, annikêm, annikâm","here, hither"
annû,this
Annugal,DN
annum,"(word of) consent, approval"
annûm,this
