tablet_id,transliteration,translation,source_pdf
1. kt 94/k 1263,"14 112 GIN KB rKP 1-li-dan DUMU Šu-ki-tim 2 ma-na 10 GIN I KU KI Šu-ŠŠtar ša-ša-e-im Ba-lu-ni / ma ar DUMU E-dì-Ši-in r na?₁ hi ni it tz'l [X] r X ií-tit 1 10 Ša-na-/at 10 GIN rTA x₁ i-ša-ak-šu-nu-/tì i-[qa-q]a-ad ke-ni-šu-nu ra-ki-iš 15 GIN KU.KI 2 112 ma-na I URUDU KIA-bu-um-DINGIR DUMU A-be-la 5 112 GIN KU KI diM-pì-ld-ah DUMU A-hu-qar IGI [Pi-]ta-ah-ŠAíŠA 5 ma-na rx GIN₁ KB KI Ha-zu-a-la 1 ma-na KU ša i-a-d it Puzur4-/Štar DUMU d AB-ba-n[i] KI Be-lu-dan it La-qe-ep 213 ma-na KU Na-dì-bu-/um 213 ma-na 1-dì-A-šitr a-na 3 ma-na 1-šu-hi 112 m[a-n]a I 5 GIN e. A-ka-bi 1 112 ma-na Na-ab-Šu-in 1-nu-um-ŠŠtar 1113 ma-na I 2 GIN A-hu-qar DUMU A-ba-a-a 1 ma-na 13 GIN E-ri-DINGIR it Šu-ŠŠtar a-hu-šu 1 ma-na 15 GIN KI Ma-nu-ki-DINGIR-a i-ku-bu-ur u-tì-TI-tim i-ša-qal šu-ma ta e5-qul1 ma-na-um 113 ma-na i-ša-ak iš-tit li-mì-im ša 1-dì-Šu-in DUMU Šu-li 10 GIN za-ar-ta-nim 1 ma-na URUDU? ša bi(li-tim 113 ma-na LA 2 GIN KI DINGIR-šu-dan 6 112 GIN KU KI DINGIR-i-dì IGI Ha-na-nim 1 TUG 113 ma-na 4 GIN H-im-šu i-na ILLA T -ku-tim DUMU {d}AB-ba-ni ad-ma-ku u 1/2 ma-na KU 1 GU URUDU ŠŠtar-IGI.IDU 1 TUG 1/3 ma-na 4 GIN 1 TUG 15 GIN rKU₁? i-ILLAT A-ku-tim En-nam-A-ršur₁ a-dì-im i-hu-bu-ul e. r Ha ₁-zu-a-la a-na hu-ma-gi-r x (x)l ša KB a-na 1 ma-na rKB,","shekels of silver is owed by Ili-dan son of Sukkutum. 2 minas 10 shekels of silver is owed by Su-IStar, the wailer .... son of Edisin ... ... for 10 years (interest) will accrue to them at the rate 10 shekels per ... They are jointly liable. 15 shekels of gold and 2 minas of copper is owed by Abum-ili son of Abela. 5 shekels of silver is owed by Adad- pilah son of Ahu-waqar. Witnessed by Pilah-... 5 minas x shekels of silver is owed by Hazuwalla. 1 mina of silver belonging to me and Puzur-IStar son of Illil-bani is owed by Belu-dan and La- qep. 213 mina of silver: N adibum. 213 mina: Iddin-Assur. For 3 minas: Isuhu. mina 5 shekels: Akabi. 1 mina: Nab-Suen (and) Ennam-IStar. 1113 mina 2 shekels: Ahu-waqar son of Abaya. 1 mina 13 shekels: Eri-ili and his bro- ther Su-IStar. 1 mina 15 shekels is owed by Mannu-ki-iliya; he is to pay when the grain is ripe. If he has not paid (in time) 113 mina per mina will accrue (as interest). From the eponymy of Iddin- Suen son of Suli. 10 shekels of oliveš, 1 mina of copper from ... , 113 mina less 2 shekels is owed by IlSu-dan. 6 shekels of silver is owed by Ilum- idi. Witnessed by Hannanum. 1 textile (worth) 1/3 mina 4 shekels I invested in the caravan of Akutum son of Illil-bani. mina of silver and 1 talent of copper: IStar-palil son of Ar5i-ah. 1 textile (worth) 113 mina 4 shekels, 1 textile (worth) 15 shekels of silver En- nam-Assur invested in Akutum's cara- van. Of the debt of Hazuwalla for Huma ... Aguwa guarantees with the silver for 1 mina of silver.",AKT 6a.pdf
2. kt 94/k 1733,a-na 1-šu-ri-ik qì-bi-ma um-ma Šal-rna-A-šur-ma 15 ma-na KB ni-iš-ha-/šu DIRI ša-du-a-šu ša-bu-u i-na li-bi lu-qu-ti-ka ša še-ep Pu-šu-ki-in Ili5-ba-ni ub-la-kum AN.NA-ka ša 1-ri-šu-um e. u A-bu-ša-lim r ir ₁-de₈-u-r ni-ni₁ r. [e-ri-q]a-tum [ ... ] r a-₁na ma-la[(...)] ti-ir-tí-ka a-n[ a] Bu-ur-uŠ-ha-[ dim] u-še-ru-bu-ma 10 GIN KB šìbuJ ul₁[-tz1 [En-na]m-A-šu[r ... ],"To Issu-arik from Salim-Assur: Ili-bani brought you 15 minas of refined silver, its import duty added, its trans- port tariff paid for, (the proceeds) from your goods transported by Pusu-ken. Your tin that Irisum and Abu-salim conducted here, .... wagons in accordance with your orders they will bring it into Burushaddum, and 10 shek- els of silver, the consignment of Ennam- Assur ...",AKT 6a.pdf
3. kt 94/k 1746,[a-n ]a 1-[šu-ŠUDx qí-bi-ma] um-ma ŠaJ lim-A ₁-šur-ma 11/3 ma-na KB H-im NA4.GUG-tí-k[a] u A-mur-a-a wa-bar-ni a-h[a-at-ni] ug-ba-ab-tam u-ša-a[š-qí-i/5-ma] ku-nu-ki-a Du-du na-dŠ-a-[ kum] 2 1/2 ma-na 112 GIN KI /-[. .. ] [x] 1/2 ma-na KI' KuJza-zi₁[-im] rl/2₁ ma-na KI A-šur-he-r el-a ₁[-wa-tim] m1-ma a-nim KB ša H-im NA4.GUG-tí-k[a ša] a-we-li a-ni-u-tim Du-du i-na Ha-hi-im u-ba-la-kum 2 ma-na LA 3 [GIN] KB-[ap-k]a 5 GIN i-a-am u u r2₁ [x] 2 GIN e. 2 m[a-na] 3 GIN qa-dum ša-d[u-a-]tí-Šu rIm ₁-dí-DINGIR ub-íd-kum r ša 1 7 ma-na X ma-na KB ]u-um H-im NA₄.GUG-tí-ka: šu-ma m i- [(. .. )] r tam-₁[ ka ]-ri-ka il5-qe [5í-ma-am] r a-ma ₁-la tup-p1-im r ša 1 [ Du-du lu-baJ li-₁[ta-kum] 3 1/2 GIN KU.GI ša ab-[nim] ku-nu-ki-a še-bu-ul-[ tam] Du-du na-aš-a-kum 2 1/2 GIN KU.GI A-ni-[ ša ki-[ r ₁-bi4 a-r ta 1 i-hi-id-ma [lu ]-qu-ti db-ka-ma [ ... ]-im break [x x x]-ri-na ti-ir-[ta]-ka za-ku-tum I.e. [i-na pa-]nim-ma [li-]li-kam,"To lssu-arik from Salim-Assur: I made our guest Amuraya and our sis- ter, the priestess, pay 1 1/3 mina of re- fined silver, the proceeds from your carnelian, and Dudu is bringing it to you under my seal. 2 1h minas 1h shekel owed by 1..., x 1h mina owed by Kuzazum, 1h mina owed by Assur-bel-awatim, all this, refined silver, from the proceeds of your car- nelian, from these men, Dudu will bring to you in Hahhum. 2 minas less 3 shekels is your silver, 5 shekels belong to me. Also, 2 ... and 2 shekels ... Imdi-ilum brought you 2 minas 3 shek- els including its transport tariff. About the 7 minas of refined silver, the proceeds of your carnelian - if he has taken interest from your merchant, then in accordance with the tablet of ... let Dudu credit you for the price. 3 1h shekels of gold ore sealed by me as a shipment is being brought to you by Dudu. 2 1h shekels of gold Ani ... the servant ... My dear father, take care and ship my goods to me, and ... May a final report from you come as soon as possible.",AKT 6a.pdf
4. kt 94/k 1113,[{a}-Y dz₁ Za-al-pa ik ₁-šu-dam r 2/3 ma-na 5 rcfN AN.NA ta-Ši-a-tum ša ša-du-im 4 ma-n[a AN.]NA ni-iš-ha-tum ša E.GAL [i-]na ša 1-šu-ŠUDx ša 1-ri-/šum [ ub-ld-n ]i a-ma-id tup-pì-šu u-[ša-]ni-iq-šu-ma bi4-il5-tum 2 1/2 ma-na im-ti e. i-na AN.NA ša še-ep 1-ri-H-im 2 1/3 ma-na I AN.NA i-na i-še-ra-tim ša EA-lim{ki} i-ti-ra-ma Ša-lim-A -šur i/₅-qUu IGI 1-šu-ri-ik IGI 1-ri-Ši-im,"2/3 mina 5 shekels of tin were the cost of carriage in the mountains; 4 minas of tin: the import duty of the palace - from Issu-arik' s goods that Irisum brought. I checked it in accordance with his let- ter, and 2 \t2 minas were missing on each talent. Of the tin transported by Irisum 2 1/3 minas of tin from the išertum of the City Hall was m excess, and Salim- Assur took it. Witnessed by Issu-arik, witnessed by Irisum.",AKT 6a.pdf
5. kt 94/k 681,"1 ma-na 10 GIN KB . , 1-dí-ŠŠtar 1-šu-ŠUDx t-šu . v šu-ma v 15 GINKB e. i-na a-ta-r ki-a 1 r. ía eš-ta-aq-r lu 1 a-na KB u rša 1 ki-li r u -?1 -u4-me-a a-tu-wa-ar-/Šum e. 1-ri-šum IGI A-bu-um-DINGIR I.e. IGI Ša-lim-A-šur","Iddin-IStar owes 1 mma 10 shekels of silver to Issu-arik. If he has not paid 15 shekels of silver when I arrive, then I shall raise claim against him for the silver and the ac- crued interest for the entire period. (Concerning) Irisum. Witnessed by Abum-ili, witnessed by Salim-Assur.",AKT 6a.pdf
6. kt 94/k 1234,"16 ma-na KU ?a-ru-pa-am A-šur-/eš-ti-kal u 1-dí-a-bi.,.im 1-šu-ŠUDx • v e. t-SU IGIA-ku-za r. IGI 1b-ni-Šu-in","Assuris-tikal and Iddin-abum owe 16 mi- nas of refined silver to Issu-arik. Witnessed by Akuza, witnessed by Ibni-Suen.",AKT 6a.pdf
7. kt 94/k 1253,17 ma-na LA 7 1/2 GIN i-?e-er Na-ab-Šu-en 1-šu-ŠUDx i-šu iš-tu ha-mu-uš-/tim ša Šu-ka-li-a a-na 13 ha-am-ša-/tim KB i-ša-qal KBuKU.GI i-na bi-ti-a i-ba-5í e. IGI En-nam-a-a r. IGI En-nam-A-šur DUMU Da-da IGI -šur-na-da DUMU,"Nab-Suen owes 17 minas less 7 shekels (of silver) to Issu-arik. Reckoned from the week of Sukkalliya he must pay the silver in 13 weeks. The silver and gold is in my house. Witnessed by Ennamaya, by Ennam- Assur son of Dada, by Assur-nada son of",AKT 6a.pdf
8. kt 94/k 1211,2 ne-pi-Še-en 20 ma-na KB ni-iš-ha-šu ša-du-a-šu ša-bu-u 12 GIN KB r ku ₁-nu-ki-a be-u-U-at Na-ab-Šu-in e. 10 GINKB r. še-bu-ul-ti 1-šu-ŠVDx mi-ma a-nim a-na En-nam-A -šur DUMU Da-dim u Na-ab-Šu-lin DUMU U-zu IGI E-U-ma DUMU 1-dí-Šu-in IGI Ku-La a-hu Šu-ka-tim e. IGI Ki-rdi₁ I.e.,"2 packages of 20 minas of refined silver, its import duty (added), its transport tar- iff paid- 12 shekels of silver under my seal: the working capital of Nab-Suen; 10 shekels of silver: the shipment of Issu- arik- all this is for Ennam-Assur son of Dadum and N ab-Suen son of U zu. Witnessed by Elamma son of Iddin-Suen, by Kula the brother of Sukkutum, by Kida.",AKT 6a.pdf
9. kt 94/k 961,"I-šu-ŠUDx a-na -lim{ki} i-ld-ak-ma E-ti-šu ša bu-ri-im a-šar v a-m-z Ša-lim -A -šur wa-aš-bu-ni a-na Tu-ud-ha-li-a a-hu Tu-li a-na šz-mz-zm v,- ' • e. i-di-šu-nu a-na a-wa-tim r. a-ni-a-tim ka-ru-um Ka-ni-iš i-di-ni-a-ti-ma tup-pa-am Ší-bu-ti-ni IGI GIR ša -šur ni-dt-in IGI Šu-ka-li-a DUMU A-mur-A-šur IGIA-ku-za DUMU Šu-A-nim IGI U-ra-a DUMU Ma-na-/na e.","As Issu-arik will go to the City, he sold his houses by the well, where at present Salim-Assur is living, to Tudhaliya the brother of Tuli. The Kanesh colony gave us for these proceedings, and we gave a tablet with our testimony before the dagger of Assur. Witnessed by Sukkalliya son of Amur- Assur, by Akuza son of Su-Anum, by Uraya son of Manana.",AKT 6a.pdf
9a. kt 94/k 581A,KISIB Šu-ka-U-a D UMU -mur-A -šur KISIB -ku-za D UMU Šu-A -nim KISIB U-ra-a DUMU Ma-na-na a-na a-wa-tim a-ni-a-tim ka-ru-um Ka-ni-iš i-di-ni-a-tí-ma tup-pa-am H-bu-ti-ni IGI GfR ša -šur ni-di-in,"Seal of Sukkalliya son of Amur-Assur, seal of Akuza son of Su-Anum, seal of U raya son of Manana. The Kanesh colony gave us for these proceedings and we gave the tablet with our testimony before Assur's dagger.",AKT 6a.pdf
