source_pdf,transliteration,translation
AKT 6c.pdf,[a-n ]a-ku-ma a-hi-i a-su-< mi> a-mu-ti-/ka [di-Yik 1 KB sa su-mi La-qe-ep [i]t-bu-lu (erasure) KB [a]-mu-tim su-re-e: sa ta-di-lnu-su-ni di-ik a-li-ik-ma da-me-e sa a-hi-a : se-e rka 1-ru-um is-al-su-ma um-ma ka-ru-ma a-wi-lum a-su-mi a-mu-ti-ka : di-ik a-li-ik-ma da-me-e sa a-wi-lim : r se-e 1 um-ma su-ut-ma u-la a-la-ak tup-pit-am sa hu-bu-ul a -wz- zm u- a-a a-na a -mu-ttm na-is-ha-ku a-pi-i : ka-ri-im u-di-e-ma sa a-di-ni zi-bu-lum sa a-bi4-a lit i-ri-qu u tup-pe-r e 1 lu e-mu-uq a-hi-a sa a-hi u-ka-lu Ia u-za-ki-u is-ti si-ip-lri-ku-nu i-bi4-ru-niJ ma 1 i-pi-ma [x X X ]-qu-ul-ma rKl [B s]a hu-bu-/ul [(a-bi-a)] a-na li-mi-i[m x x x]-i/5 possibility would have been written pi-a. 11: instead of: am ri-[ ... ] we could perhaps read la te-ri-[ ... ]. Blood-money,"""My brother was killed because of your iron. The silver that he took away in the name of Ui-qep - surely he was killed for The colony questioned him, saying: ""The man was killed because of your iron. Go and sue for the blood-money for the man."" He answered: ""I shall not go. I have a tablet concerning the man's debt. Be- cause of the iron I have been released of my responsibility."" In accordance with the colony I announced that so far my father's ... has not been idle, and that he has not cleared the tablets, or the fortune of my brother, which my brother has. They chose(?) with your envoys and ... my father's debt to the eponym ..."
AKT 6c.pdf,um-ma A-di-da-ma it A-la-hu-um-ma a-na La-ma-si qi-bi-ma mi-su sa is-tit sa-na-at it si-ta sa-na-at ni-is-ta-na-pa-ra-ni-ma u ti-ir-tam sa :E a-bi-ni ka-.fa- r dam l u-lil ta-le-e-a-ni u su-ma sa-zu-za-tum sa i-na sa-ha-ti-ki : i-za-zu-nu it a-na te-er-ti-ni : u-ta [i-n ]a-hi-du sa-ni-u-tum sa rki-ma 1 su-nu-ti u-ta i-ba-si-u is-tu 3 sa-na-tim En-um-A-sur lu me-et a-na-kam l-tur4-DINGIR i-na ba-ab : ka-ri-im ki-ma ne-si-im : pa-ri-ik-ma u-la ni-le-e-ma si-bi a-na a-wi-lim u-la ni-sa-kan we-i-da-ni-ma upi-a-am: ra-na 1 a-wi-lim u-16 nu-ma-la tup-pa-am sa - 1m u ra- l-!ja-am nu-qa-a : ki-ma a-time-er-a-at En-urn-A -sur r u 1 ma-li-ku-ki a-na A-limki a-su-mi da-me-e En-urn-A-sur u KB-ap E a-bi-ni ta-ta-na-la-ka-ni 1-turrDINGIR is-me-ma a-na ~e-er sa ki-ma su-wa-ti u Be-el-ba-ni a-mi-sa-am is-pu-ra-am um-ma su-ut-ma a-rna- am {up-pa-am sa - 1m u ra-bi-~a-am ah-za-nim-ma a-na-kam i-na sa-bi-ti-a a-na-ku u DUMU Sal-rna-A-sur lu ni-ta-wu a-na A-limki al-ki-rna um-ma a-ti-ma tup-pa-am sa a-mu-tam sa i-na ~e-er En-um-A-sur 1-turrDINGIR i-su-u tup-pu-um su-ut u tup-pu-u sa E a-bi4-a sa a-su-mi La-qe-pi-im I-tur4-DINGIR e-pu-lu (end of text) Blood-money,"From Adida and Ali-ahum to Lamassi: Why is it that although we have been writing for both one and two years, yet you are not able to reach a solution to the  affair of our father's house? And if the agents who support you pay no attention to our messages, are there no others instead of them? It is in fact 3 years since Ennam-Assur died. Here ltiir-ili blocks the gate of the col- ony like a lion and we are incapable of setting witnesses for the man. We are alone and thus we cannot fulfil the promise to the man. We wait for a tablet from the City and an attorney. Itur-ili heard that you, Ennam-Assur's daughter and your advisors try to go to the City about the blood-money for En- nam-Assur and the silver of our father's house, so he wrote to his representatives and Belum-bani there, saying: ""Get a tablet from the City and an attor- ney there for me so I personally and Salim-Assur's son can discuss about my assets here."" Go to the City and (present) the tablet concerning the iron that Ennam-Assur owed to Itur-ili, that tablet and the tab- answered for because of La-qep ..."
AKT 6c.pdf,[ra-b ]i-~a-am sa a-n [a ~e-er] [1-tu ]r4-DINGIR ta-ha-za-ni ri1-na tup-pi-im sa A-l[imki] su-a-ti-ma su-um-!iu wa-di su-ma ra- 1-~u-um 1-ta- ~ a-am tup-pe-e a-na ba-ti-<qi-> im DUMU urn-me-a-ni ke! -nim a-na-kam KB 1 GIN r x 1 Ia-di-in u- ta-z -rna su-ma a-n a KB a-na DAM.GAR-ru-tim a-lit-ka-ma i!i-ti DAM. GAR a-b[i4-a] a -na - zm a - a-m a [tup-p ]a-am sa me-eh-ra-t[im] [x x ]-ni: le-qe-a-m[ a] [x tup-p ]a-am §a A -limki [x x x] Ia ku a-ni [ ... ],"The attorney whom you will contract against Itur-ili- indicate his name in the tablet from the City. tablets to an express transport, a reliable afiliated trader. silver and satisfy him, even if I must tum row it), so do go to the City together with the merchant of my father and get hold of a tablet concerning the corresponding amount and ... ... a tablet of the City"
AKT 6c.pdf,a-wa-tim a-ni-a-tim IGI ka-ri-im iq-bi : ka-ru-um di-nam i-di-in-ma a-di da-mu : sa DUMU Sa-lim-A -sur Blood-money i-ka-su-du-ni : e-ba-ar Ta-wi-ni-ra 1 : ma-ma-an: u-la i-ka-ba-as u a-na e-ri-is-ti-su lu i-na ra-bi-u-tim lu i-na ~a-hu-ru-tim ma-ma-an u-ta i-za-az : s[ u-m ]a di-in ka-ri-im i-de8-ma : da-r me 1 a-hi-a ik-buJ us 1-/ma u a-na e-ri-i.f-ti-su i-zi-iz i-na tup-pi-im sa A-limki wa-di-a-nim ki-ma da-me ik-bu-su u i-tu-ru-ma a-na e-ri-i.§-ti-su i-zi-i/ tup-pu-um sa A-1imki-ma a-na ~a-he-er : ra-bi li-li-kam-lma IGI GIR sa A-.§ur lu i-na ra-bi4-u-ltim lu i-na ~a-hu-ru-tim : pi-su-nu li-ip-te-u a-ma-kam su-ma sa ki-ma su-a-ti A-lam/: im-ta-ah-ru um-ma su-nu-ma da-me a-hi-su A -la-hu-lum IGI ka-ri-im ik-bu-us da-me mi-[ma u-la] ak-bu-us: ka-ru-um a-pi- r su 1 : r wa 1-sa-ab : ka-ra-am a-na si-b[u-tim?] r u-se1-la-am su-ma si-be :sa r[a-bi-u- ]tim i-su-am : mi-nam a-qa-be a-na-ku~ u su-ut i-na fup-pi-ni u si-be-ni a-ma-kam IGI A-limki lu ni-iz-ku the reading s[u-m ]a. 28: the restoration r[a-bi-u- ]tim is probable but not certain. dressed to Ali-ahum's main contacts in Assur. Blood-money,"These words he spoke before the colony. The colony passed a verdict, to the effect that until they acquire the blood-money for Salim-Assur's son, no one may for- give the colleague from Tawniya, and noone, either among the great men or among the small men may carry out his wishes. If anyone knows about the verdict of the colony and yet remits my brother's blood-money or indeed carries out his wishes, then make it known in a tablet of 15  blood-money and again has carried out rev.  his wishes. The tablet of the City should come to the plenary assembly, and they must make a statement before Assur's dagger, wheth- er it is one from the great men or from the small men. If his representatives have approached the City there, saying: ""Ali-ahum has remitted the blood- money for his brother before the colony"" - (know that) I have not in any way remitted the blood-money. The colony supports him. He shall take the colony as witness. If he has witnesses among the great men against me, then what can I say? I and he should clear our affair there with our tablets and our witnesses before the City assembly."
AKT 6c.pdf,"[x x x x x ni]m-ma [ ... ] [x x x x x-m ]i-ti: a-na A-[la-hi-im] [ qi-hi-ma i-na] bu-lu-ut a-hi-k[ a] a-na a-[ hi-ka] ta-ak-la-ti-ma it a-di: urmi-im a-nim Ia ta-laz-ku-a-[am] urma-am a-ma-nim ta-ta-ka-al i-na E a-bi4-ka a-ta-ma it ku-lu ma-e-em a-!je-ri-ka-ma ta-ur a-pu-tum a-ma-kam i-hi-id-ma ra-ma-ka za-ki-a-ma ti-ib-a-ma a-tal-kam a-na-kam KB sa E A -limki ,'fi-ib-tum im-ti-d[ a-ku-n ]u-ti it su-ma a-ta sa-ah-ra-ti KB §a E A -limki : su-ta-as-/birta-ma ku-un-ka-ma a-na ra-hi4-!ji-lim di-ma lu-ub-lam-ma li-ma-am lu nu-ta-ib a-na A-la-hi-im qi-bi-ma a-ma-kam a-di La-qe«ip»-pi-im mi-ma Ia ta-pa-la-ah it i-na bu-lu-u[t] a-hi-ka a-di ma-la it H-ni-su a-mi-sa-am a-na a-wa-ti-su: ga-m[a-ri-im] [is-ta-na ]-pa-ra-ku-nu< -ti> mi-ma [ ... ] ba~al-<ta-> tit-nu-ni, which would give an understandable form.","From ... to ... and As sur') -imitti; specifically to Ali-ahum: While your brother was alive you trusted in your brother, and still, until today you have not cleared me. Today, in whom do you trust? You yourself are in your father's house and all the water has fallen back upon you. Urgent, take care there, clear yourself, set out and come! Here interest on the silver due to the City delayed, then have the silver of the City torney that he may bring it so we can satisfy the eponym. To Ali-ahum: Do not be afraid at all with respect to La- 20'  qep there. Also, while your brother was alive he often wrote you there in order to conclude his affair."
AKT 6c.pdf,En-um~A-sur a-na En~na-Su-in lu ta-ad-mi-iq- r tam 1 i-di-in lu (up-pu-um ha-ar-mu-um lu ta-ah-si-is-tum sa hu-bu-ul En-na-Su-in DUMU 1-di-a-bi-im r u-s~P-li-am me-er-u En-um-A-rsur 1 i-se-e-u-su r1-na 1- Su-in a-na A-la-hi-im u me-er-e En-um-A -lsitr a-na ma.mi su-um-su Ia i-tu-wa-ar ITI.KAM Ma-hu-ur-i-li li-mu-um sa qa-ti En-na-Su-in DUMU Su-/A -sur IGI Su-La-ba-an DUMU Dan-ni-rl£1 IGI Lustc_zf-rna1 IGI DVG-~i-ta-A-sur IGI rA-x 1-/i IGI Be-la-nim DUMU Su-A-sur,"What free loan Ennam-Assur has given to Enna-Suen, or any certified tablet or memorandum concerning the debt of Enna-Suen son of lddin-abum that he has produced- Ennam-Assur's sons will sue him. Enna-Suen will not raise claim against Ali-ahum or Ennam-Assur's sons for anything at all. Month Mahhur-i/1, eponymy after that of Enna-Suen son of Su-Assur. Witnessed by Su-Laban son ofDan-ili, by Luzina, by Tab-~ill-Assur, by A ... ,"
AKT 6c.pdf,um-ma La-LA-si-rna a-na A-la-hi-im qi-bi4-ma is-tu MU.l.SE tup-pi-ka it da-na-ti-lka ra-bir~u-um ub-lam-ma u a-tu-nu a-di u4-mi< -im a-> nim sa-ah-ra-tu-lnu r a-am u4 1-ma-am tu-qa-a la ta-la-ka-nim-ma E a-birku-nu Ia tu-za-ka-a u a-na-kam li-lmu-um E-tam ik-ta-na-na-ak a-pu-tum su-ma a-hi a-ta a-ma-kam la ta-as-ta-na-me-e ki-ma a-na-kam da-nu-tu-ni a-ta Ia ti-dex-e ki-ma a-bu-ni i-na E-tim e-ri-im e-zi-bi4-ni £t a-na u-ku-ul-/ti E-tim nu-ha-bu-lu-ma ni-ku-lu mi-su : i-na se-bu-ul-ltim KB 1 GIN su-mi Ia ta-sa-<pa-> ra-ni su-ma a-hi a-ta a-na-ku-ba su-ma Ia I ku-a-ti a-ma-nim a-da-gal da-nu-tum i-na A-limki a-pu-tum ki-ma (up-pi ta-<sa-> -me-u ra-ma-ku-nu za-ki-a-nim-ma : ti-ib-< a-> nim-ma a-tal-ka-nim-ma E a-birku-nu : it? -ra su-ma A-lu-wa a-ma-kam i-re-si-lka i-za-az li-zP iz 1 su-ma I Ia ki-am a-na be-u-la-tim di-su-ma be-u-la-ti se-bi-lam u KB 13 GIN ha-bu-lam ~a-ba-su KB sa-as-qi-[i/5- ]l.§u se-bi4-lam ra-qa-tam ar- r be 1 i-na< -mi> -tim r ru-pu- 1[sa] u e-sa-ar u-ru-uk-sa ku-nu-ki[-a] A-di-da na-as-a-kum A -di-da-ma'~ r (x) 1,"From Lamassi to Ali-ahum: A year ago the attorney brought your tablets and your strict commands, but as for you (pl.), you have delayed until this day! Which day are you waiting for? You (plur.) do not come and clear the affairs of your paternal house, and the 10  eponym tries to seal up the house. Urgent, if you are truly my brother, Jo.e.  don't you keep hearing there that condi- tions here are harsh? Do you not know rev.  that our father left me in an empty 15  house, so we have to borrow money for food for the household to have some- thing to eat? Why do you not send me a single shekel silver in my name in a shipment? If you are truly my brother- as for me, whom can I look to apart from you? Conditions are harsh in the City. Urgent, as you hear my letter, clear yourselves, set out and come and save your father's house. If Aluwa attends to you there, let him do  so- or if that is not the case- hand him over for a working capital and send me the working capital. Also, he owes me 13 shekels of silver- seize him and have him pay the silver and send it. Adida brings you a thin textile, four cu- bits wide and ten long, under my seal. Adida."
AKT 6c.pdf,a-na A -di-da it A -!a-hi-lim qi-bi-ma um-ma S1G 5-pi-i-A-Rur GiN KB: A-mur-lstar rni-a 1-um: ha-bu-lam KB rsa 1-as-qi-la-su-ma se-birla-nim TUG SIGs Zu-zu-a: na-as-a-ku-nu-/ti ~u-ba-tam : di-na-ma KB ku-un-ka-ma se-bi-la-nim Zu-zu-a ta i-sa-huJ ur 1 ~u-ba-ti-su na-si ~u-ba-ti-su di-na-ma Ia i-sa-hu-ur turrda-lni-su a-hu-a a-tit-nu i-ih-da-ma : lu si-im ~u-ba-ti-a : lu sa A-mur-Istar [K]B ku-un-ka-ma se-birla-/nim r a 1-na A -di-da qi-bi-ma ra 1-pu-tum : we-da-ku 1-di-in-:dMAR.TU is-/ti rzu-zu-a 1 rur 4- r da-nim 1 zs· -tz : a-m x z-a-am r ma 1 [X X X] be-u-/a-tit [xxxa-]ha-ma 10 GiN rKB1 [x x xi-]na Ha-hi-im Damiq-pi-Assur,"To Adida and Ali-ahum from Damiq- pi-Assur: Our own Amur-IStar owes me 14 shek- els of silver. Make him pay the silver and send it to me. Zuzuwa brings you 1 good textile. Sell the textile, seal the silver and send it to me. Zuzuwa must not delay. He carries 2 textiles of his. Sell his tex- tiles and send him without delay. My dear brothers, take care to seal both the proceeds from my textiles and those of Amur-IStar in silver and send it to me. To Adida: Urgent, I am alone. Send Iddin-Amurrum together with Zuzuwa. With ... mine ... working capital ... also, 10 shekels of silver ... in Hahhum."
AKT 6c.pdf,rum-ma SIG5-pi1-A-sur [u Puz]ur4-A-sur-ma a-n a- z-ma m-zs-ta-;na-me-u maJtum 1 [d]a-al-ha-/at-ni u ti-ir-ti ka-ri-lim da-na-at-ni ti-ir-ti-ni : a-di ma-la u si-ni-su i-li-ka-ku-um a-ta u-za-ni-ma la ta-ap-te-te-e a-ma-kam ki-ma sa-lu-um KB 1 ma-na.TA sa na-as-a-ni-ni su-ma ha-ra-an su-ki-ni-/im sa-al-ma-at ti-ir-ta-ka li-li-kam u-za-ni pi-te lu i-na ma-~a-ra-tim AN.NA 10 ma-na nu-se-ra-ba-/am ti-ir-ta-ka li-li-«AB»Ikam-ma a-na (erasure) ti-ir-ti-ni i-hi-id 2 ma-na KB a-na pa-ni-ni se-bi4-la-am r u 1 i-na qe-er-bi4-ma ma-na URUDU SI[G5] [sax ] KB .yi-pa-ra-tim [X X X) e-ki-im za-ap-ru? -tim se-bi4-[/am],"To Ali-ahum from Damiq-pi-Assur and Puzur-Assur: When we heard repeatedly here that the land is in uproar and that the or- ders of the colony are strict, we sent word to you once or twice. But you have not informed us. There, for the sake of the safety of every mina of silver that we bring, send us word and inform us whether rev. the Narrow Track is safe. Send word whether we shall let some 10 minas of tin enter the guard-posts, and pay attention to our instructions. Send 2 minas of silver to us en route and send 10 minas of good copper in- 25 u.e.  eluded, for x silver send bronze nails, andzapru ..."
AKT 6c.pdf,a-na A-la-hi-im qi-bi-ma um-ma S1Gs-pi-i-A-sur-ma u MAN-A-sur i-na Ha-hi-im u-nu-ut-ni : nu-sa-li-ha-/ku-ni i-na Za-al-pa it a-na-kam : ni-is-ta-na-me-ma ha-ra-an : su-ki-nim danJ na-at1 la na-{it-ma !a m?-ra-r ab l a-hu-ni a-ta ki-ma AN.NA 10 ma-lna (erasure) it 10 TUG sana-as-a-ni-ni a-mi-sa-am .~a- r lu-hi 1-/im mi-li-ik-ni-a-ti ti-ir-ta-ka nu-qa-a i-na s[a- ]am-si [ n ]a-as-pe-er-ti-ni r ta 1-sa-me-u ti-ir-ta-lka is-ti pa-ni-e-ma li-li-kam : ki-ma TUG 10 it AN.NA 10 ma-na . ~a-lu-mi-im mi-li-ik-ni-a-ti a-di : ti-ir-ta-ka i-ba-lci-ka-ta-ni nu-qa-a a-hu-ni a-ta i-hi-id-ma za-ku-sa li-li-kam-ma lei r x x 1na-ti-ar,"To Ali-ahum from Damiq-pi-Assur and also Puzur-Assur: In Hahhum we set aside our goods for you. In Zalpa and here we keep hearing that the Narrow Track is difficult. It is not a good idea for us to enter it. Our dear brother, advise us whether we some 1 0 minas of tin and 1 0 textiles that The very day you hear our missive send word with the first transport. Advise us about securing some 1 0 textiles and some 10 minas of tin . Until your instructions come to us we shall wait. I.e. Our dear brother, take care so a clear mes- sage comes and ... will not ..."
