entry_type,form,norm,lexeme,type,known_meaning,train_frequency,in_train_data,eBL
logogram,BABBAR,BABBAR,BABBAR,logogram,silver/white,20778,True,
logogram,DUMU,DUMU,DUMU,logogram,son of,11454,True,
logogram,IGI,IGI,IGI,logogram,witness/before,7025,True,
lexicon,a-na,ana,ana,word,,3922,True,https://www.ebl.lmu.de/dictionary?word=ana
lexicon,a-na,anna,anna,word,,3922,True,https://www.ebl.lmu.de/dictionary?word=anna
lexicon,a-na,Anna,Anna,PN,,3922,True,https://www.ebl.lmu.de/dictionary?word=Anna
lexicon,ša,ša,ša,word,,3441,True,https://www.ebl.lmu.de/dictionary?word=ša
logogram,AN.NA,AN.NA,AN.NA,logogram,tin,3380,True,
lexicon,KÙ.BABBAR,kaspam,kaspu,word,,3164,True,https://www.ebl.lmu.de/dictionary?word=kaspu
lexicon,KÙ.BABBAR,kaspum,kaspu,word,,3164,True,https://www.ebl.lmu.de/dictionary?word=kaspu
lexicon,KÙ.BABBAR,kaspem,kaspu,word,,3164,True,https://www.ebl.lmu.de/dictionary?word=kaspu
lexicon,KÙ.BABBAR,kasap,kaspu,word,,3164,True,https://www.ebl.lmu.de/dictionary?word=kaspu
logogram,URUDU,URUDU,URUDU,logogram,copper,2988,True,
lexicon,ma-na,manā,manā'u,word,,2451,True,https://www.ebl.lmu.de/dictionary?word=manā'u
lexicon,ma-na,Mana,Mana,PN,,2451,True,https://www.ebl.lmu.de/dictionary?word=Mana
logogram,DINGIR,DINGIR,DINGIR,logogram,god/divine,2330,True,
logogram,TA,TA,TA,logogram,from/each,2278,True,
lexicon,DUMU,mer'ēn,mer'u,word,,1893,True,https://www.ebl.lmu.de/dictionary?word=mer'u
lexicon,DUMU,mer'em,mer'u,word,,1893,True,https://www.ebl.lmu.de/dictionary?word=mer'u
lexicon,DUMU,mer'a,mer'u,word,,1893,True,https://www.ebl.lmu.de/dictionary?word=mer'u
lexicon,DUMU,mer'um,mer'u,word,,1893,True,https://www.ebl.lmu.de/dictionary?word=mer'u
lexicon,DUMU,mer'ān,mer'u,word,,1893,True,https://www.ebl.lmu.de/dictionary?word=mer'u
lexicon,DUMU,mer'am,mer'u,word,,1893,True,https://www.ebl.lmu.de/dictionary?word=mer'u
logogram,KI,KI,KI,logogram,place/with,1859,True,
lexicon,GÍN,šiqil,šiqlu,word,,1855,True,https://www.ebl.lmu.de/dictionary?word=šiqlu
lexicon,GÍN,šiqil,šiqlu,word,,1855,True,https://www.ebl.lmu.de/dictionary?word=šiqlu
lexicon,GÍN,šiqlem,šiqlu,word,,1855,True,https://www.ebl.lmu.de/dictionary?word=šiqlu
lexicon,GÍN,šiqlum,šiqlu,word,,1855,True,https://www.ebl.lmu.de/dictionary?word=šiqlu
lexicon,GÍN,šiqlam,šiqlu,word,,1855,True,https://www.ebl.lmu.de/dictionary?word=šiqlu
logogram,PUZUR₄,PUZUR₄,PUZUR₄,logogram,protection (in names),1844,True,
lexicon,ù,u,u,word,,1841,True,https://www.ebl.lmu.de/dictionary?word=u
logogram,ITU.KAM,ITU.KAM,ITU.KAM,logogram,month,1515,True,
logogram,SIG₅,SIG₅,SIG₅,logogram,good quality,1505,True,
logogram,GAL,GAL,GAL,logogram,,1502,True,
logogram,UTU,UTU,UTU,logogram,Shamash (sun god),1291,True,
lexicon,i-na,Innā,Innā,PN,,1265,True,https://www.ebl.lmu.de/dictionary?word=Innā
lexicon,i-na,ina,ina,word,,1265,True,https://www.ebl.lmu.de/dictionary?word=ina
lexicon,um-ma,umma,umma,word,,1206,True,https://www.ebl.lmu.de/dictionary?word=umma
lexicon,IGI,šēbum,šēbu,word,,1127,True,https://www.ebl.lmu.de/dictionary?word=šēbu
lexicon,IGI,maḫar,maḫar,word,,1127,True,https://www.ebl.lmu.de/dictionary?word=maḫar
logogram,GI,GI,GI,logogram,,1072,True,
logogram,DAM.,DAM.,DAM.,logogram,,1028,True,
lexicon,LÁ,maṭi,maṭā'u,word,,988,True,https://www.ebl.lmu.de/dictionary?word=maṭā'u
lexicon,lá,lā,lā,word,,988,True,https://www.ebl.lmu.de/dictionary?word=lā
