transliteration,translation,source
kunuk <PN>Mannum-bālum-Aššur</PN> mer'a <PN>ṣí-lā-Adad</PN> kunuk šu-(d)EN.LÍL mer'a <PN>Mannum-kī-Aššur</PN> kunuk <PN>Puzur-Aššur</PN> mer'a <PN>Adā</PN> ⅓ <PN>Mana</PN> 2 šiqil kaspam damiqtam iṣṣēr <PN>Puzur-Aššur</PN> mer'a <PN>Adā</PN> <PN>Al-aḫum</PN> īšu ištu ḫamuštem ša <PN>Ilī-dān</PN> warḫem ša kēnātem līmum <PN>Enna-Suen</PN> ana warḫem 14 ḫamšātem išaqqal <PN>Šuma</PN> lā išqul 1½ šiqil ana 1 manā'em ina warḫem ṣibtam uṣṣab,"Seal of Mannum-balum-Aššur son of Ṣilli-Adad, seal of Šu-Illil son of Mannum-kī-Aššur, seal of Puzur-Aššur son of Ataya. Puzur-Aššur son of Ataya owes 22 shekels of good silver to Ali-ahum. Reckoned from the week of Ilī-dan, month of Ša-kēnātim, in the eponymy of Enna-Suen, he will pay in 14 weeks. If he has not paid in time, he will add interest at the rate 1½ shekel per mina per month.",original
1 ṣubātem ša qātem <PN>Itūr-ilī</PN> ilqe,Itūr-ilī has received one textile of ordinary quality.,original
ṣubātem ula iddinakkum iturramma 9 šiqil kaspam,... he did not give you a textile. He returned and 9 shekels of silver ...,original
kunuk šu-(d)EN.LÍL mer'a <PN>Šu-Kūbim</PN> kunuk <PN>Ṣilūlu</PN> mer'a <PN>Uku</PN> inūmi <PN>Iddin-abum</PN> awassu iqbiu 10 <PN>Mana</PN> kaspam ana <PN>Šalim-Aššur</PN> iddin umma šūtma i--ṣí-ba-at kaspīa lilqe,"Seal of Šu-Illil son of Šu-Kūbum, seal of Ṣilūlu son of Uku. When Iddin-abum spoke his will, he gave 10 minas ofדsilver to Šalim-Aššur. He said: He may take it from the interest on my silver.""""",original
umma <PN>Šukkutumma</PN> ana <PN>Ištar-lamassī</PN> u <PN>Nitaḫšušar</PN> qibima miššu ša tašpurāninni umma addinamma bētum ana lā bētem itu''ar apputtum ana <PN>Ennum-Aššur</PN> i--xx-ni-mā e šina ga x ša lā ta-ḫa-dì-ri ana <PN>Ištar-lamassī</PN> qibima <PN>Šuma</PN> aḫātī <PN>Adā</PN> libbam dì-ni-šī-im lā taḫaddar ana <PN>Nitaḫšušar</PN> qibima perekannī ša ezibu na-pī-šī-šu-nu u ṭuppū lu ša-ṣú-ru perekannū ša <PN>Madi</PN> u <PN>Tipula</PN> mā-a--x iš-ta-u-šattem-ni adi <PN>Ennum-Aššur</PN> illakanni a- <PN>Maman</PN> lā tušēri x šiqil kaspam <PN>Šamaš-tappā'ī</PN> ublakkem 1 šiqil ḫurāṣum u x šiqil kaspam <PN>Ikuppiya</PN> ublakkem,"From Šukkutum to Ištar-lamassī and Nitahšušar: Why is that you (fem. plur.) have written me, saying: The house is no longer a house."" Urgent, to Ennam-Aššur ... Do not fear!. To Ištar-lamassī: If you are truly my sister, then encourage her. Do not fear. To Nitahšušar: Air the -textiles that I left. Also, the tablets should be guarded. The  which Mati? and Tibula ... have bought do not release (them) to anyone before Ennam-Aššur arrives. Šamaš-tappā'ī brought you x shekels of silver. Ikūn-pīya brought you 1 shekel of gold and x shekels of silver. """,original
umma <PN>Šu-Tammazi</PN> <PN>Elā(ya)</PN> <PN>Ennum-Aššur</PN> u <PN>Lamassī-ma</PN> ana <PN>Ennum-Aššur</PN> u <PN>Al-aḫim</PN> qibima a--mā-lā našpertīkunu rābiṣam nīḫuzakkunūti <PN>Abiā</PN> mer'a <PN>Bebe</PN> rābiṣni ina šamši ša rābiṣum errabanni iḫdamma izzizzamma lu tamkārum abīkunu lu ša awātam tí-šu-a--ni rābiṣum ina ša-ḫa-tí-ku-nu lizzizma ina kaspam paniemma ašar tamaḫḫarāni kaspam ša bētum ālem šutaṣbitamma mala abūkunu ḫabbulu kaspam kunkāma šēbilānem rābiṣum ištēkunu liknukma kaspam šēbilānemma līmam lu nušabbi ṣibat ṣibtem lā ima''idakkunūtima libbakunu e imraṣ mala eṭṭar bētum abīkunu epšā <PN>Šuma</PN> tadaggalāma ṭuppū ḫarrumūtum u ba'abātum rūqātum ibaššiu ṭuppī kunkāma ana mer'a ummiānem <PN>Kenim</PN> ša kīma kunūti piqdāma ūmēkunu balum mimmāma lā tù-ri-qá-mā lā tasaḫḫurā ište ra,"From Šu-Tammuzī, Elaya, Ennam-Aššur and Lamassī to Ennam-Aššur and Ali-ahum: In accordance with your missive we have hired a attorney for you; Abiya son of Bebe is our attorney. Take care to stand by the very day the attorney arrives, and have the attorney assist you both with regard to the customers of your father and those with whom you have an argument, and of the first silver, wherever you receive it, collect the silver of the City Hall, as much as your father owes, seal the silver and send it; the attorney should seal it together with you, and then send the silver so we can satisfy the eponym. The compound interest should not grow too big for you and make you unhappy. Act so as to save your father's house. If you observe that there are certified deeds and credits outstanding on long terms, then seal the tablets, entrust them to a trustworthy affiliated trader, like yourselves, and do not extend your terms without special reasons, do not delay but set out and come together with the attorney. Here we seized (witnesses) against Šu-Kūbum and said: Did Šalim-Aššur give you 5 minas of silver out of those in your tablet?"" He refused to confirm to us the silver, what you will declare there. ⅔ mina of silver: hire for the attorney; he received ⅓ mina of silver here and will receive ⅓ mina there. We gave 16⅓ shekels of silver for their disposal; 36⅔ shekels of silver, their expenses, we borrowed in a merchant-house against interest. Seal silver there and send it with the first transport so we can pay back the merchant. Also, send at least 1 or 2 minas of silver; send it so we can store 40 litres of grain before you come. Elaya says: If you are truly my brothers, you must seal the proceeds from the textile in silver and do me a favour. """,original
kunuk <PN>Al-aḫim</PN> kunuk <PN>Āl-ilī</PN> kunuk <PN>Abela</PN> kunuk <PN>Lāqēp</PN> ša ina ba'abtem ša <PN>Aššur-bēl-malkim</PN> ša ište mer'a <PN>Aduria</PN> u <PN>Amur-Aššur</PN> <PN>Ḫinnaya</PN> iṣbutuma ana <PN>Elamma</PN> ipqidu 2 <PN>Mana</PN> 13½ šiqil kaspam ṣarrupam <PN>Elamma</PN> ana <PN>Al-aḫim</PN> u <PN>Āl-ilī</PN> ipqidu kaspam ana <PN>Al-aḫim</PN> <PN>Āl-ilī</PN> u <PN>Ḫinnaya</PN> a- barēšunu illak,"Seal of Ali-ahum, seal of Ali-ilī, seal of Abila, seal of Lā-qēp, that what hinnāya had seized as part of an outstanding claim of Aššur-bēl-malkim from Atūriya's son andfrom Amur-Aššur and had entrusted to Elamma - an amount of 2 minas 13½ shekels of refined silver, which Elamma in turn had entrusted to Ali-ahum and Ali-ilī - that this silver will become the joint property / responsibility of Ali-ahum, Ali-ilī and hinnāya.",original
ana bētum <PN>Šalm-Aššur</PN> ana awâtem nērubma umma <PN>Šalm-Aššur-ma</PN> iāti ana <GN>Burušḫaddem</GN> ina maksuem ana ḫubul <PN>Wardum</PN> <PN>Abu-šalim</PN> šaqālim iraddeūni <PN>Adā</PN> 30 kutānē u emārum ṣallāmam ša <PN>Wardum</PN> talaqqe umma <PN>Šu-Bēlum-ma</PN> kēna ša wardīa <PN>Abu-šalim</PN> alqe <PN>Šalim-Aššur</PN> ša nīš ālem uznātēni ilput umma <PN>Šalim-Aššur-ma</PN> ašar <PN>Wardum</PN> ana wardēka lā itūru mā ana wardīa ituwwar umma <PN>Šu-Bēlum-ma</PN> <PN>Šuma</PN> ana kuā'em itu''ar ana ṣubātem u emārū azzazzakkum ana awâtem anniātem kārum <GN>Kaneš</GN> iddinniātima maḫar patar ša <GN>Aššur</GN> šēbuttīni niddin maḫar <PN>Urā</PN> maḫar <PN>Ilī-dān</PN> maḫar <PN>Mannum-bālum-Aššur</PN>,"We entered Šalim-Aššur's house to settle the case, and Šalim-Aššur said: While they are going to lead me personally to Burušhaddum in fetters to pay the debt of the slave Abu-šalim, will you on the other hand take 30 -textiles and a black donkey from the slave?""Šu-Bēlum answered: ""Yes, I have taken what belongs to my slave Abu-šalim."" Šalim-Aššur impressed on us what had been sworn by the City, and Šalim-Aššur said: ""In case the slave does not raise claim against your slave, then, will he raise claims against my slave?"" Šu-Bēlum answered: ""If he raises claim against yours, then I guarantee for the textiles and the donkey for you."" The Kanesh colony gave us for these proceedings, and we gave our testimony before Aššur's dagger. Witnessed by Uraya, by Ilī-dan, by Mannum-balum-Aššur.""",original
ṭuppum ša 10 <PN>Mana</PN> kaspam ša <PN>Puzur-Aššur</PN> u <PN>Puzur-Adad</PN> ṭuppum ša 4 <PN>Mana</PN> kaspam ša <PN>Puzur-Aššur</PN> ṭuppum ša 10 <PN>Mana</PN> kaspam ša <PN>Asānim</PN> ṭuppum ša 10 <PN>Mana</PN> kaspam ša <PN>Alp-ilī</PN> ṭuppum ša 10 <PN>Mana</PN> kaspam ša <PN>Asānim</PN> u <PN>Puzur-Aššur</PN> ṭuppum ša 5 <PN>Mana</PN> kaspam ša <PN>Aššur-ṣulūlī</PN> ṭuppum ša 17 <PN>Mana</PN> 15 GÌN ša <PN>Ennanātim</PN> ṭuppum ša ḫubul abīni ina <GN>Kuburnat</GN> alqešu,"A tablet about 10 minas of silver of Puzur-Assur and Puzur-Adad; a tablet about 4 minas of silver of Puzur-Assur; a tablet about 10 minas of silver of Asanum; a tablet about 10 minas of silver of Alpili; a tablet about 10 minas of silver of Asanum and Puzur-Istar; a tablet about 5 minas of silver of Assur-sululi; a tablet about 17 minas and 15 shekels of silver of Ennanatum; a tablet about a debt of our father, I obtained it in Kuburnat.",original
17 šiqil kaspam ši'im emārem 30 <PN>Mana</PN> weri <PN>Ištar-pilaḫ</PN> ana arbēšu x ukāpū šapiūtem 9 <PN>Mana</PN> weri damiqtam i- ši'im ṣubrem 1 <PN>Mana</PN> weri šikkam ište mer'a <PN>Ištar-bānī</PN> 2 karpat kamūnū mimma anniem ina <GN>Durḫumit</GN> ibašši 10 perekannū 1 bilat šāpātem 2 ukāpē 80 lurmātum 10 <PN>Mana</PN> šamnam sardam sapdinnam nibraram 2 šitrē ša <GN>Zalpa</GN> 2 emārē u unūssunu mimma anniem ana <PN>Aššur-imittī</PN> <PN>Adin</PN>,"17 shekels of silver, the price of a donkey, 30 minas of copper of Istar-pilah, 4 sets of thick saddlecloths, 9 minas of refined copper from the price of a slave, 1 mina of sikku-copper with the son of Istar-bani, 2 jars of cumin — all this is available in Durhumit. 10 pirikannu-textiles, 1 talent of wool, 2 saddle-rugs, 80 pomegranates, 10 minas of olive oil, a saptinnu- and a nibraru-textile, 2 scarfs from Zalpa, 2 donkeys with their harness — all this I gave to Assur-imitti.",original
