id,akkadian,english
P236874,a - mat LUGAL a - na m d + EN — DÙ DI - mu a . a - ši ŠÀ - ba - ka lu - ú ṭa - ab - ka ina UGU m mu - še - zib — d AMAR . UTU ša * taš * - pu * - ra * ma - al UD - mi - šú i - tir - ba i - na pa - ni - ia KASKAL .2 ina GÌR .2- šú al - ta - kan nu - bat - ti ina NINA . KI * ul i - bit,"The king's word to Bel-ibni : I am well ; you can be glad . Concerning Mušezib-Marduk , about whom you wrote , the very day he entered into my presence , I sent him to the road . He did not spend a night in Nineveh ."
P236876,[ x x ] ⸢ x ⸣ É ⸢ x ⸣ + [ x x x x x x x x ] [ a ] - ⸢ du ⸣ - ú LÚ . e - mu - qí - ⸢ ia it ⸣ - [ tal - ku - ni ] ⸢ ip ⸣ - paḫ - ru ù i - na pa - an [ x x x šu - nu ] [ la ? ] ITI ù UD - mu šá i - na ŠÀ - bi [ i - kaš - šá - du ] [ a ] — ⸢ ki ⸣ - ma a - na pa - ni - ka il - ⸢ la ⸣ - [ ku - ni x x ] [ ḫu ] - ⸢ us ⸣ - sa - am - ma šup - ra ina [ x x x x ] (erased x x x x x x x x) [ ki - ma e ] - ⸢ mu ⸣ - qí - ia it - tal - ku - ni [ x x x x ] [ la ] ⸢ i * ⸣ - di - nu - nik ù ma - la ⸢ x ⸣ + [ x x x x ] [ x ] ⸢ x ⸣ kit - ta ki - i pi - i šá ⸢ x ⸣ + [ x x x x ] [ x x ] dib - bi - ka la il - lu - [ ú x x x ] [ a - na ] ṣa - ba - a - ti la ta - ⸢ nam ⸣ - [ din x x x ] [ it - ta ] - aṣ - ru ki - ṣir - ku - nu la [ x x x x ] [ a - di e ] - ⸢ mu ⸣ - qí - ia i - kaš - šá - du [ x x x x ],"[ No ] w then my forces have co [ me and ] assembled , and [ stand ] before [ ... ] . It will not ( take ) more than a month that they [ will get ] there . [ W ] hen they co [ me ] to your presence , [ rem ] ember to write to me [ ... ] ( Erased line ) [ When my for ] ces came , they did [ not ] let you [ ... ] ; and all that [ ... ] [ ... ] truth according to [ ... ] [ ... ] Your words should not go up [ ... ] Do not let [ the ... ] be caught , [ they have gu ] arded [ ... ] , ( and ) do not [ disband ] your company [ until ] my [ for ] ces arrive ."
P236923,[ a - na LUGAL be - lí - ia ] ⸢ ARAD * ⸣ - [ ka m x x x x x x ] a - na ⸢ di * - na * - an * ⸣ [ LUGAL EN - ia lul - lik ] lu - ú šul - ⸢ mu ⸣ [ a - na LUGAL be - lí - ia ] um - ma - a a - na ⸢ LUGAL ⸣ [ be - lí - ia - a - ma ] ki - i áš - mu - ú [ x x x x x x ] um - ma - a m d AMAR . [ UTU — x x x x x ] um - ma - a LÚ . gam - bu - [ la - a . a x x x ] lid - di - nu ku - [ x x x x x x x ] LÚ . gam - bu - lu - a . [ a x x x x x ] a - na UGU - ḫi [ x x x x x x x ] LUGAL ŠEŠ - ka šá [ x x x x x x x ] mim - mu - ú a - na [ x x x x x ] la ṭa - bu [ x x x x x x x ] ul i - ter - [ bu x x x x x x ] ul i - qab - ⸢ bi ⸣ [ x x x x ] ki pi an - [ ni - i x x x x x x ] a - na ŠEŠ - ía [ x x x x x ] um - ma - a ⸢ LUGAL ⸣ [ x x x x ] ki - i i - mur [ x x x x x ] i - dab - bu - ⸢ ub ⸣ [ x x x x ] a - na - ku ina ⸢ UGU ⸣ [ x x x x ] šá - ni - ti [ x x x x x ] ki - i [ x x x x x x x x x ] šá LUGAL ⸢ be ⸣ - [ lí - ia x x x x x ] a - mat e - [ x x x x x x x x ] i - na pa - [ an x x x x x x x ] a - di tak - [ x x x x x x x x ] a - qab - bi [ x x x x x x x x ] i - na bi - [ x x x x x x x x ] a - mat a - qab - ⸢ bi ⸣ [ x x x x x x x ] ti - da - a [ x x x x x x x x ] a - di er - ⸢ bet ⸣ [ x x x x x x x ] ⸢ ki ⸣ - i áš - mu - [ ú x x x x x x ] [ a ] - ⸢ na ⸣ LUGAL i - ⸢ qab ⸣ - [ bi x x x x x ] [ m d U ] . GUR — ŠEŠ - ir [ x x x x x x ] [ ki ] - i iq - bu - [ ú x x x x x ] [ x ] ⸢ iq * ⸣ - ba - aʾ * [ x x x x x x ] [ it ] - ta - lak [ x x x x x x x ] [ x x ] tak KUR [ x x x x x x x ] [( x ) x ] i si * [ x x x x x x x ] [ at ] - ta - ma [ x x x x x x x ] ⸢ ak ⸣ - ka - a . a - i [ x x x x x x ] lu - kul LÚ . pu - [ qu - du x x x x x ] šá LUGAL ù ⸢ ŠEŠ ⸣ - [ šú x x x ] i - na ŠU .2 [ x x x x x x ] šá KUR . ra - a - ⸢ ši ⸣ [ x x x x x x ] ki - i ak - [ x x x x x x x ] [ x ] ⸢ x ⸣ - ʾa - [ x x x x x x x ] [ x x x x ] ḫal [ x x x x x x x ] LUGAL li - is - ni - qa - an - ni [ šá ] LÚ . qí - i - pi šá KUR . ra - ⸢ a ⸣ - šú ik - kal a - na - ku - ma lu - kul šá LUGAL mi - nu - ú [ 0 ] muṭ - ṭè - e - šú,"[ To the king , my lord : your ] servant [ NN . I would gladly die ] as a substitute for [ the king , my lord ] . Good health [ to the king , my lord ] ! Say to the ki [ ng , my lord ] : As I have heard , [ ...... ] saying , “Mar [ duk -... ... ] “the Gambu [ lians ...... ] let them give [ ...... ] the Gambulians [ ...... ] about [ ...... ] the king , your brother , who [ ...... ] whatever to [ ...... ] is not good [ ...... ] did not enter [ ...... ] does not say [ ...... ] in th [ is ] manner [ ...... ] “to my brother [ ...... ] “the ki [ ng ...... ] When he saw [ ...... ] he speaks [ ...... ] I [ ... ] about [ ... ] another [ ...... ] when/if [ ...... ] of the king , [ my ] l [ ord , ...... ] a word [ ...... ] befo [ re ...... ] until you [ ...... ] I shall say [ ...... ] in [ ...... ] I shall say a word [ ...... ] Do you know [ ...... ] until four [ ...... ] [ A ] s I have heard , [ ...... ] is say [ ing t ] o the king [ ...... ] [ N ] ergal-naṣir [ ...... ] [ wh ] en he sai [ d ...... ] [ he did not ] say [ ...... ] [ w ] ent [ ...... ] [ ... ] ... [ ...... ] [ ... ] ... [ ...... ] [ yo ] u [ ...... ] [ H ] ow [ ...... ] may I enjoy ? The Pu [ qudu tribe ...... ] which the king and [ his ] brot [ her ...... ] in the hands [ ...... ] of Raš [ i ...... ] When I [ ...... ] [ ... ] ... [ ...... ] [ ... ] ... [ ...... ] Let the king question me ! [ What ] the legate of Raši enjoys , let me enjoy as well ! What detriment would it be for the king ?"
P236935,[ x x x x x x x ] ⸢ x ⸣ [ x x x x x x x x ] - pi [ x x ] ⸢ x x ⸣ ki - i ⸢ x ⸣ [ x ] [ ŠU .2 ? ] m za - ki - ri DUMU i - [ ba - a ] [ iš ] - pu - ra um - ma LUGAL [ 0 ] [ KI ] LÚ . NAM - MEŠ um - ma [ 0 ] [ ina IGI ] - ka lil - li - ⸢ ka ⸣ [ at ] - ⸢ ta ⸣ taš - pu - ra [ 0 ] [ um ] - ⸢ ma ⸣ al - ka at - ta [ ul ] ⸢ ti ⸣ - de - e ki - i [ Á ? ] ⸢ la ⸣ ba - ni - ti ù [ šá a ] - ⸢ na ⸣ du - un - qí [ x x ] ⸢ x x x x x x ⸣,"[ ...... ] when [ ... ] [ s ] ent [ by the hand of ] Zakiru son of I [ bâ ] : "" May the king [ with ] the governors come [ into your presence ] ,"" [ yo ] u wrote to me : "" Come !"" Do [ n’t ] you know that an inauspicious [ omen ] and [ one that is not t ] o the benefit [ ... ]"
P236951,[ x x x x x ] ⸢ x ⸣ + [ x x x x x ] [ x x x x x x ] bi - rit ⸢ x ⸣ + [ x x x x x ] [ x x x x x x ] iš - ku - nu a - na [ x x x x x ] [ x x x x x x ] - ta - a - ma ši - ⸢ pir ? ⸣ - [ ti x x x ] [ x x x x x x ] É — m a - muk - a - ⸢ nu ⸣ [ x x x x ] [ x x x x x i ] - tam - mu - ú u ⸢ x ⸣ + [ x x x x x ] [ x x x x x x ] - šú a - na ŠEŠ - ⸢ MEŠ ⸣ [ x x x ] [ x x x x x x ] šá ul - tu ⸢ x ⸣ + [ x x x x x ] [ x x x x m ] ⸢ ku ⸣ - na - a . a šá ina pa - ⸢ ni ⸣ [ x x x ] [ x x x É — m ] a - muk - a - nu nu - ⸢ x ⸣ + [ x x x x ] [ x x x x x ] - šú - nu lil - mu - ⸢ nu ⸣ [ x x x ] [ x x x x x ] - šú - nu u LÚ . qin - na - [ a - ti x x ] [ x x x x x ] ⸢ ka ⸣ - lu - me - e u ⸢ x ⸣ + [ x x x x ] [ x x x x ] ⸢ x ⸣ KASKAL .2 a - na GÌR .2- ⸢ šú ⸣ [ x x x ] [ x x x x ] - ⸢ na ⸣ u m d + EN — ŠUR ⸢ x ⸣ + [ x x x x x ] [ x x x il - ta ] - kan - šú - nu - tú um - [ ma x x x x ] [ x x x x x ] šá ina É — m a - muk - [ a - nu x x x x ] [ x x x i ] - ⸢ na ⸣ pa - an ⸢ LUGAL ⸣ [ x x x x x ] [ x x x x x ] ⸢ x ⸣ [ x x x x x x x x x ],"[ ...... ] between [ ...... ] [ ...... ] set [ ... ] to [ ... ] [ ...... ] and a mes [ sage ... ] [ ...... ] Bit-Amukan [ i ... ] [ ...... ] swear and [ ...... ] [ ... ] his [ ... ] to the brothers [ of ... ] [ ...... ] who from [ ...... ] [ ... K ] unaya , who in presen [ ce ... ] [ ... Bit ] -Amukani [ ... ] [ ... ] their [ ... s ] may become malevolent [ ... ] [ ... ] their [ ... ] and the famili [ es of ... ] [ ...... l ] ambs and [ ... ] [ ... ) prep [ ared ] hi [ m ] for journey [ ... ] [ ... ] and Bel-eṭir [ ...... ] [ ... pla ] ced them [ in ... ] , saying : “ [ ... ] [ ...... ] in Bit-Amuk [ ani ... ] [ ... i ] n the presence of the ki [ ng ...... ]"
P236959,[ x x x x x x x x x x ] ⸢ x x ⸣ + [ x x x x x ] [ x x x x x x x x x x x ] - ku - nu [ x x x x x ] [ x x x x x x x x x x x ] pa - ni - ku - ⸢ nu ⸣ [ x x x x x ] [ x x x x x x x x x at ] - ⸢ tu ⸣ - nu la [ x x x x x ] [ x x x x x ] x x šá a - na - ku ú - ra - bu - ku - [ nu x x x x ] [ x i - na pa ] - ni - ti e - ⸢ ṭir₅ ⸣ - ku - nu - ši at - ⸢ tu ⸣ - [ nu x x x x ] [ x x x ] a - ga - a ši - ma - a ba - ni - ⸢ ti ⸣ [ x x x x x ] [ ina ŠÀ - bi ] ra - ma - ni - ku - nu ep - šá - ma [ x x x x x ] [ x x x ] ⸢ x ⸣ it - ti - ku - nu lu - ⸢ x ⸣ + [ x x x x x x ],"[ ...... ] ... [ ...... ] [ ...... ] your [ ...... ] [ ...... ] before yo [ u ...... ] [ ...... ] Don’t [ y ] ou [ know ... ] [ ...... ] that I raised yo [ u ... ] [ and ] saved you [ previ ] ously ? Yo [ u ... ] Listen to this [ ... ] , do a good thing [ ...... ] [ among ] yourselves and may [ ...... ] [ ... ] with you [ ...... ]"
P236974,[ a - mat LUGAL ] a - [ na m d EN . LÍL — ba - ni ? ] ⸢ DI ⸣ - [ mu ] ⸢ ia ⸣ - a - ši [ ŠÀ - ba - ka ] ⸢ lu ⸣ - ú ṭa - ab - ka ⸢ en - na ⸣ a - du - ú al - tap - ⸢ rak ⸣ - ka LÚ . ḫum - ⸢ mur ⸣ a - ga - a bir ? - ⸢ ta ? - a - nu ? ⸣ - tu uṣ - ṣu [ 0 ] lu - u pít - qud - da - tu - nu ma - ṣar - ta - šú uṣ - ra i - na ŠU .2- ku - ⸢ nu ṣab - ta - šú ⸣ šá ḫal - qu mi - nu - u ⸢ uṣ ? ⸣ - ṣi - šú - ma ù man - nu it - ti - šú ⸢ x x ⸣ - šú i - ši - iz - za - a - ma [ x x x x ] ⸢ x x ⸣ rad - pu i - kaš - šad [ x x x x x ] lu - u dan - na - ⸢ at ⸣ [ x x x ] ⸢ x ⸣ la ta - šil - la - ma [ ina ŠÀ ] ⸢ ITI . SIG₄ ⸣ a - ga - a at - tu - nu u LÚ . ⸢ na ⸣ - [ sik - a - te x ] ⸢ x ⸣ ù UNUG . KI - ⸢ MEŠ ⸣ [ šá ] ⸢ it ? - ti ? ⸣ - ku - nu la - pa - an a - ḫa - meš la KUD - as ⸢ dib ⸣ - bi šá ta - šem - ma - a ⸢ pa ⸣ - ni - šú iš - ku - nu e - mu - qu [ x x x ] ⸢ x ⸣ - šu - nu ina pa - na - tu - uš - šú [ x x x x ] ⸢ x ⸣ u paḫ - ra [ x x x x ] ⸢ x ⸣ EN . NUN - šu - nu [ lu dan - na - at la ] ⸢ ta * - šil ⸣ - la - ma [ x x x ] u la ta - qab - ba - a ⸢ um ⸣ - ma dib - bi šá niš - mu - ú um - ma i - ḫi - ṭu ki - i ni - ip - ḫu - ru ù šu - ú ina KASKAL .2 ⸢ bul - ṭa ? - a ? ⸣ iḫ - te - liq e - mu - qé - ku - nu a - na a . a - lu šá a - ḫa - meš lil - li - ku ù i - na KUR - ku - nu ma - ṣar - ta - šú - ma lu - u dan - na - at a - du - ú ki - i áš - pur PI .2- ku - nu up - te - ti a - ki - i — ma - a - de - e lu - u pít - qud - da - tu - nu a - mur ak - ka - a - ʾi mál it - ti ŠÀ - bi - šú ú - kaṣ - ṣip AN . ŠÁR u d NIN . LÍL DINGIR - MEŠ - e - a ina ŠU .2- šú id - ⸢ ku - u ⸣ a - di i - tur - ra ina É . ⸢ KUR - ME ? x x ⸣ šá ⸢ x ⸣ + [ x x ] - šú ŠÀ - šú ⸢ x ⸣ + [ x x ] ⸢ x ⸣ ⸢ x ⸣ + [ x x ] ⸢ x ⸣ - MEŠ šá LÚ . TIN . TIR . KI ⸢ x ⸣ ⸢ x ⸣ + [ x x x ] u ⸢ uḫ - te - eṭ - ṭi x x ⸣ u ⸢ x x ⸣ - a - te šá TIN . TIR . KI ⸢ x x x ⸣ [ AN . ŠÁR u d ] ⸢ AMAR ⸣ . UTU DINGIR - MEŠ - e - [ a ] [ x x x x x x ] ⸢ x ⸣ - bu ⸢ x ⸣ [ x x x x x ] [ x x x x x x x ] + ⸢ x ⸣ + [ x x x x x x ],"[ The king's word ] to [ Illil-bani ] : I am w [ ell ; y ] ou can be glad . Now then I am writing to you : this cripple is trying to ... get out fortified zone . Be cautious , keep watch over him , ( and ) appre [ hend him ] in your hands . Once he has disappeared , what will ... him and who will [ ... ] with him ? Stand by and [ ... ] will catch the pursued one [ ... ] Let [ the guard ] be strong [ ... ] . Don´t be negligent ; [ during ] this [ mont ] h you , the sh [ eikhs ] and the Urukians [ who are w ] ith you should not be separated from one another . [ He ] has power [ to do ] the things that you hear and ( that ) he is intent upon . Their [ ... ] is before him , [ and his … ] are assembled . Their guard [ must be strong ] . Don´´ be negligent but [ ... ] . And don´t say : "" The things that we heard were false ; we got assembled , but he disappeared on the road ..."" Let your forces go to the aid of one another , and let the watch over him be strong in your country . Now then I have written to open your ears ; be extremely cautious . See how Aššur and Mullissu , my gods , [ have lifted ] from his hands whatever he concocted with his heart , until he returns to the temples [ ... ] his heart [ ... ] [ ... ] s of the Babylonian [ s ] [ ... ] made to sin [ ... ] and the [ ... ] s of Babylon [ ... ] [ Aššur , M ] arduk , ( and ) my gods ( Rest destroyed )"
P237020,[ x x x x x x x ] ⸢ x ⸣ + [ x x x x ] [ x x x x x x x x x x ] - us [ x x x x x x x x x ] - i [ x x x x x x ] - ⸢ us ⸣ - su - nu [ x x x ki - din ] - ⸢ nu ⸣ - ut - su - nu lu - uk - ṣur - ma [ x x ] ⸢ x ⸣ at - tu - nu šá LÚ . ki - di - né - e [ x x x ] DINGIR - ia za - ka - tu - nu [ ina UGU šá ] taš - pu - ra um - ma ERIM - MEŠ [ šá x x ] ù NUMUN šá m du - um - mu - qu [ x x x ] ⸢ iḫ ⸣ - ḫi - su - ni at - ta [ x x x ] É šá m ⸢ du ⸣ - [ um - mu ] - qu [ x x x x ] ⸢ x x ⸣ [ x x x ] [ x x x x x x x x x ] ⸢ x ⸣ [ x x x x x x x ] ⸢ x x x ⸣ [ x x x x x x ki ] - i taq - ba - ni [ um - ma x x x x ] ⸢ x ⸣ - MEŠ a - na LUGAL lud - din [ x x x x x x x ] - pu ki - i [ x x x x x LÚ ] . ⸢ A * — KIN * a ⸣ - dan - ni - ka [ x x x x x x ] ⸢ x ⸣ LÚ . e - mu - qí - ia [ x x x x x x x ] ⸢ ad ⸣ - ku - ú - ni [ x x x x x x a - na ] UGU pi - i - ka [ x x x x x x lu - pu ] - uš [ x x x x x x x ] ⸢ mim ⸣ - ma ma - la ta - qab - bu - u [ x x x x x x dib ? ] - ⸢ bi - ka ⸣ [ x x x x x x x x x ] - ma,"[ ...... ] their [ ... ] status . [ ... ] I will consolidate their [ privil ] eged status , and [ ... ] . You , who are my protégés , will be exempt [ by order of ... ] , my god . [ As to what ] you wrote , “The men [ of NN ] and the offspring of Dummuqu [ ... h ] ave returned there,” you [ ... ] the house of D [ ummu ] qu [ ... ] ... [ ... ] [ ...... ] ... [ ...... W ] hen you said , “I will give [ the ... ] s to the king,” [ ...... ] when [ ...... ] your fixed-time messenger [ ...... ] I have mobilized my forces [ ... ] [ ...... in accor ] dance with your promise [ ...... I will d ] o [ ...... ever ] ything that you say [ ...... yo ] ur [ wor ] ds"
P237040,[ x x x x x x x x ] ⸢ x x ⸣ [ x ] tu [ x x x x ] [ x x x x x ] ⸢ ḫa ⸣ - sa - an - na - šú u A - MEŠ [ x x x x x ] [ x x x x x ] ⸢ i ⸣ - din ki - di - nu - ta - ni ik - ta - ṣar [ x x x x ] [ x x x x x ] il - ta - kan u a - ki ARAD - MEŠ - šú [ x x x x ] [ x x x x x ] - ⸢ ma ⸣ [ ul ? ] ib - ši - an - na - ⸢ šú ? ⸣ [ x x x ] [ x x x x ] re - ⸢ bi - i ? ⸣ šá EN - MEŠ - ni [ x x x x x ],"[ ...... ] ... [ ... ] [ the king , our lord , r ] emembered us , and gave water [ ... to our ... ] , consolidated our privileged status , [ and ] established [ our freedom from taxes ] . And since [ we are ] his servants [ ... ] , there has been [ no other lord ] for us [ ... ] [ [ In ] the fourth ... of our lords [ ...... ]"
P237044,a - ⸢ na ⸣ [ x x x x x x x x ] šá m d [ x x x x x x x x ] iḫ - li - ⸢ qu ⸣ [ x x x x x x x x ] m di - di - ia ⸢ x ⸣ + [ x x x x x x x ] um - ma al - ⸢ ka ⸣ [ x x x x x x x ] ŠE . BAR ŠE . GIG ⸢ ANŠE ⸣ [ x x x x x ] šu - ṣa - a - ma ina pa - ni - ⸢ ia ⸣ [ x x x ] ul - tu URU . pa - tib - ⸢ bi ⸣ - [ ri x x x x ] qur - ri - di ANŠE [ x x x x x x ] [ x x x x x x x x x x x ] [ x x x x x x x x x x x ] ⸢ x ⸣ + [ x x x x x x x x x x ] šá [ x x x x x x x x x x ] ⸢ bu ? ⸣ [ x x x x x x x x x x ] ⸢ x ⸣ + [ x x x x x x x x x x ] ⸢ x ⸣ + [ x x x x x x x x x x ] ⸢ x ⸣ + [ x x x x x x x x x x ] ⸢ x ⸣ + [ x x x x x x x x x x ],"t [ o ...... ] of N [ N ...... ] ran awa [ y ...... ] Didiya [ ...... ] saying , “Com [ e , ...... ] bring out barley , wheat and equ [ ids ... ] , and [ ... ] into my presence from Patib [ ira ... ] ! Encourage [ ..., ... ] equ [ ids ... ]"
